,Model,Injury.Severity,Number.of.Engines
6394,QUICKSILVER MX 11,Non-Fatal,1.0
6398,172E,Fatal(3),1.0
6404,47G-4G,Non-Fatal,1.0
6405,47G4A,Non-Fatal,1.0
6412,60,Non-Fatal,1.0
6420,170B,Fatal(3),1.0
6421,560E,Fatal(1),2.0
6422,401A,Incident,2.0
6429,A150L,Fatal(1),1.0
6431,369D (500),Non-Fatal,1.0
6434,47G-3B1,Fatal(1),1.0
6439,DHC2,Non-Fatal,1.0
6462,M-6-235,Non-Fatal,1.0
6467,T-210-J,Fatal(3),1.0
6468,DYKE DELTA JD2,Fatal(1),1.0
6469,175B,Fatal(1),1.0
6470,320Q,Fatal(1),2.0
6475,RV-4,Non-Fatal,1.0
6477,B727-023,Incident,3.0
6482,PA-32R-300,Non-Fatal,2.0
6484,C99,Incident,2.0
6493,S-61N,Non-Fatal,2.0
6494,727-247,Incident,3.0
6503,GC-1B,Fatal(1),1.0
6504,195B,Fatal(1),1.0
6505,PA-28-236,Fatal(1),1.0
6513,VARIEZE,Fatal(1),1.0
6515,PA-18-105 SPECIAL,Non-Fatal,1.0
6521,8KCAB,Fatal(2),1.0
6523,SONERAI II,Fatal(1),1.0
6529,PA-34-200,Fatal(1),2.0
6530,AS350D,Incident,1.0
6533,610,Non-Fatal,1.0
6539,C-185E,Non-Fatal,1.0
6542,HS-748-2A,Fatal(10),2.0
6544,S-1A CADET,Non-Fatal,1.0
6545,747-200F,Non-Fatal,4.0
6552,J4E,Non-Fatal,1.0
6553,65-A80,Non-Fatal,2.0
6554,A-36,Incident,1.0
6555,210-5 (205),Fatal(2),1.0
6558,FM-2,Fatal(1),1.0
6564,B-23,Non-Fatal,1.0
6566,A75N1,Incident,1.0
6567,152II,Incident,1.0
6568,GYROPLANE,Non-Fatal,1.0
6576,100-180,Non-Fatal,1.0
6579,NAVION,Non-Fatal,1.0
6581,560E,Non-Fatal,2.0
6592,1-11/204/AF,Incident,2.0
6599,PA-12,Incident,1.0
6601,AS-355E,Non-Fatal,2.0
6602,727-21,Incident,3.0
6605,340/440,Non-Fatal,2.0
6607,414,Incident,2.0
6608,MU-2B,Fatal(3),2.0
6609,182F,Fatal(2),1.0
6624,SA-100,Fatal(1),1.0
6629,415-CD,Fatal(1),1.0
6630,M20D,Non-Fatal,1.0
6631,150M,Incident,1.0
6632,TU206G,Fatal(2),1.0
6636,ASCENDER II,Non-Fatal,1.0
6637,SGS-2-33,Non-Fatal,0.0
6641,CP-301-S,Fatal(2),1.0
6642,BE90C,Fatal(1),2.0
6645,PA31-350,Non-Fatal,2.0
6648,BUCCANEER,Fatal(1),1.0
6650,DC-8-63F,Non-Fatal,4.0
6652,401,Fatal(1),2.0
6653,206L-3,Non-Fatal,1.0
6659,F28F,Non-Fatal,1.0
6661,G-164B,Non-Fatal,2.0
6666,BD-5,Non-Fatal,1.0
6668,C-152-II,Fatal(2),1.0
6669,SD3-30,Fatal(1),2.0
6670,17-31 ATC,Fatal(2),1.0
6671,SE 3180,Non-Fatal,1.0
6676,EMB110-P1,Non-Fatal,2.0
6677,GC-1A,Non-Fatal,1.0
6678,310,Fatal(2),2.0
6680,A188B,Fatal(1),1.0
6684,DUCE,Non-Fatal,1.0
6686,PA-61P,Non-Fatal,2.0
6693,TOMCAT H.M. 81,Non-Fatal,1.0
6695,DC-3-3C,Non-Fatal,2.0
6696,206,Fatal(4),1.0
6707,TOMCAT MARK 5A,Non-Fatal,1.0
6710,150F,Fatal(1),1.0
6713,ACEY DEUCY,Non-Fatal,1.0
6715,T10,Fatal(2),1.0
6719,PA38-112,Non-Fatal,1.0
6721,BE-58P,Non-Fatal,2.0
6723,DHC-2,Fatal(4),1.0
6725,210M,Fatal(5),1.0
6726,BE-33A,Incident,1.0
6727,LAZOR 170,Fatal(1),1.0
6737,A-300B4-2C,Incident,2.0
6738,QUICKSILVER E,Non-Fatal,1.0
6739,580,Non-Fatal,2.0
6740,152 II,Fatal(2),1.0
6741,KR-2,Fatal(1),1.0
6742,T337E,Non-Fatal,2.0
6751,30-100,Non-Fatal,2.0
6752,310L,Fatal(2),2.0
6756,DC9-80,Incident,2.0
6757,PITTS S-2B,Fatal(1),1.0
6758,S76A,Incident,1.0
6759,520,Fatal(2),2.0
6768,DC-9-32,Incident,2.0
6771,S-1,Non-Fatal,1.0
6773,727-15C,Incident,3.0
6775,THRUSH COMMANDER,Non-Fatal,1.0
6776,MONO-FLY,Non-Fatal,1.0
6780,56TC,Fatal(4),2.0
6783,SGS 2-33A,Non-Fatal,0.0
6789,727-225A,Non-Fatal,2.0
6792,M20A,Fatal(2),1.0
6793,PA-22-150,Fatal(3),1.0
6799,M-4-210C,Fatal(1),1.0
6800,JODEL F-11,Fatal(1),1.0
6814,AA-4,Non-Fatal,0.0
6820,PA-31-300,Fatal(1),2.0
6823,ULTRALIGHT,Fatal(1),4.0
6825,210N,Fatal(1),1.0
6830,PA-32RT-3,Non-Fatal,1.0
6835,BE77,Non-Fatal,1.0
6839,M-20K,Non-Fatal,1.0
6841,PA-34-200,Fatal(2),2.0
6851,47-G,Non-Fatal,1.0
6862,500B,Fatal(6),2.0
6864,PA-28-236,Fatal(4),1.0
6866,AA-5B,Fatal(4),1.0
6867,DHC-1,Non-Fatal,1.0
6869,PA28RT-201T,Non-Fatal,1.0
6872,M20C,Fatal(1),1.0
6877,414,Fatal(2),2.0
6881,PEREGRINE,Non-Fatal,1.0
6886,L-1011,Non-Fatal,3.0
6887,414A,Fatal(2),2.0
6890,H18,Fatal(2),2.0
6891,J-35,Non-Fatal,1.0
6892,PA-23,Fatal(4),2.0
6893,A150K AEROBAT,Non-Fatal,1.0
6901,TU206E,Non-Fatal,1.0
6902,304A,Non-Fatal,2.0
6904,B100,Fatal(8),2.0
6905,172L,Fatal(4),1.0
6906,727-232,Incident,3.0
6917,AA-1A,Fatal(2),1.0
6918,PA-23-160,Fatal(4),2.0
6919,172P,Fatal(4),1.0
6920,180,Fatal(1),1.0
6922,58TC,Fatal(4),2.0
6924,A36,Fatal(6),1.0
6927,PA-18-105,Non-Fatal,1.0
6931,G-103,Non-Fatal,0.0
6934,182-RG,Incident,1.0
6936,17-31ATC,Fatal(2),1.0
6941,7GC,Fatal(1),1.0
6943,DOUBLE EAGLE,Fatal(1),1.0
6952,PA-18A 150,Non-Fatal,1.0
6957,17-30A,Fatal(2),1.0
6960,172H,Fatal(1),1.0
6963,206-BIII,Non-Fatal,1.0
6966,CONDOR III 400,Non-Fatal,1.0
6967,I-26D,Non-Fatal,0.0
6969,TIERRA,Non-Fatal,1.0
6974,PA-22-108,Fatal(2),1.0
6975,77,Fatal(1),1.0
6979,TC-45J,Fatal(1),2.0
6980,D18S,Fatal(1),2.0
6984,150G,Fatal(1),1.0
6987,21ON,Non-Fatal,1.0
6992,AS 355F,Fatal(3),2.0
7001,207,Fatal(4),1.0
7004,C172N,Non-Fatal,1.0
7005,7GCBC CITABRIA,Non-Fatal,1.0
7006,SPAD XIII,Non-Fatal,1.0
7007,A 188 A,Non-Fatal,1.0
7008,222U,Non-Fatal,2.0
7011,RALEY D-16A,Non-Fatal,2.0
7013,TYPE 668 VARSITY,Non-Fatal,2.0
7014,C-185A,Non-Fatal,1.0
7015,425,Fatal(1),2.0
7017,NA-265-40,Non-Fatal,2.0
7024,R182,Fatal(2),1.0
7025,47H-1,Non-Fatal,1.0
7026,PA-24-260B,Fatal(1),1.0
7034,PA-32,Fatal(3),1.0
7040,P206A,Non-Fatal,1.0
7046,182P-SYLANE,Non-Fatal,1.0
7048,T-34A,Fatal(2),1.0
7051,C-172M,Fatal(1),1.0
7055,DC-9-15,Incident,2.0
7056,VOLMER VJ22,Fatal(1),1.0
7058,47-G3B1,Non-Fatal,1.0
7062,BE-77,Non-Fatal,1.0
7063,C-185-D,Non-Fatal,1.0
7070,DC-9-31,Fatal(1),2.0
7072,182E,Fatal(3),1.0
7073,PA-28R-201T,Fatal(2),1.0
7074,M20F,Fatal(2),1.0
7077,7DC,Non-Fatal,1.0
7080,BE-200,Non-Fatal,2.0
7082,DHC 7-102,Non-Fatal,4.0
7085,25D,Non-Fatal,2.0
7086,602P,Non-Fatal,2.0
7089,DC-10-30CF,Non-Fatal,3.0
7093,C-185,Non-Fatal,1.0
7096,47G-2A-1,Fatal(1),1.0
7097,M20F,Fatal(4),1.0
7098,425,Non-Fatal,2.0
7100,P35,Fatal(1),1.0
7101,M20-E,Non-Fatal,1.0
7104,PA 24-260,Fatal(1),1.0
7105,A-185F II,Non-Fatal,1.0
7113,P35,Fatal(4),1.0
7114,58,Fatal(4),2.0
7118,C-164,Fatal(1),1.0
7120,BE-36,Fatal(2),1.0
7122,PA28-235,Non-Fatal,1.0
7123,727-224,Non-Fatal,3.0
7126,737-201,Non-Fatal,2.0
7127,707-123B,Incident,4.0
7128,PA18-A,Non-Fatal,1.0
7135,PA-34-220T,Fatal(1),2.0
7137,210M,Fatal(3),1.0
7145,PA-28RT-201T,Incident,1.0
7146,SKY RANGER,Fatal(1),1.0
7156,747-121,Incident,4.0
7159,47J-2,Fatal(1),1.0
7160,PA-28R-180,Fatal(2),1.0
7166,J-4E,Non-Fatal,1.0
7167,CL44D4,Non-Fatal,4.0
7169,1329-25,Incident,4.0
7170,VARI-EZE,Fatal(2),1.0
7174,BE-99,Non-Fatal,2.0
7175,108-1,Fatal(1),1.0
7176,P206,Fatal(4),1.0
7177,AS-355F,Fatal(2),2.0
7183,B-727-90C,Incident,3.0
7185,320C,Fatal(1),2.0
7189,C172N,Fatal(3),1.0
7196,T207A,Fatal(2),1.0
7212,DC-3C,Fatal(1),2.0
7220,185,Fatal(1),1.0
7223,BE-33A,Non-Fatal,1.0
7235,UH-12C,Fatal(1),1.0
7236,182R,Fatal(3),1.0
7239,F27-100,Non-Fatal,2.0
7240,SA227-AC,Incident,2.0
7243,PA28R-200,Non-Fatal,1.0
7244,C-24-R,Non-Fatal,1.0
7245,J-3 CUB,Non-Fatal,1.0
7247,D-9,Non-Fatal,1.0
7250,PA-32RT-300,Fatal(2),2.0
7251,177B,Fatal(4),1.0
7252,RALLY RX7,Non-Fatal,0.0
7256,AG-CAT,Non-Fatal,1.0
7257,D18S,Incident,2.0
7258,690B,Fatal(4),2.0
7259,747-230,Incident,4.0
7269,CE500,Incident,2.0
7282,310G,Fatal(4),2.0
7290,PA-32RT-300,Fatal(1),1.0
7291,P210N,Fatal(3),1.0
7292,MU 2B-20,Non-Fatal,2.0
7297,C-172P,Non-Fatal,1.0
7307,1-11,Incident,2.0
7333,SA-226T,Non-Fatal,2.0
7336,24,Fatal(6),2.0
7337,SA226TC,Fatal(3),2.0
7338,P210N,Fatal(2),1.0
7339,FALCON 10,Non-Fatal,2.0
7342,CGS HAWK,Non-Fatal,1.0
7345,F-28C,Fatal(1),1.0
7346,23,Fatal(4),1.0
7351,H-250,Non-Fatal,1.0
7353,TEENIE TWO,Non-Fatal,1.0
7354,PT-22C,Non-Fatal,1.0
7357,402,Fatal(2),2.0
7365,PA-22-150,Fatal(1),1.0
7370,500C (369HS),Non-Fatal,1.0
7372,S-61L,Fatal(1),2.0
7377,M-4S,Non-Fatal,1.0
7379,PA-30B,Fatal(1),2.0
7381,F90,Non-Fatal,2.0
7384,D17S,Non-Fatal,1.0
7385,PA-600,Non-Fatal,2.0
7386,DRAGON FLY,Non-Fatal,1.0
7389,GLASSAIRE,Non-Fatal,1.0
7394,PA-32RT-300T,Fatal(4),1.0
7395,172 RGII,Non-Fatal,1.0
7400,182RG II,Non-Fatal,1.0
7402,G-73,Incident,2.0
7403,58P,Fatal(2),2.0
7404,FIRE FLY 6B,Non-Fatal,0.0
7412,150D,Fatal(1),1.0
7414,95-A55,Incident,2.0
7420,A-36,Fatal(1),1.0
7424,PA-30-160,Fatal(1),2.0
7431,C-303,Non-Fatal,2.0
7432,WOODSTOCK-I,Fatal(1),0.0
7437,S-58E,Non-Fatal,1.0
7438,47G-2A,Incident,1.0
7443,BC12D-85,Fatal(1),1.0
7445,YS-11,Incident,2.0
7446,SA-26AT,Incident,2.0
7449,MK20B,Non-Fatal,1.0
7451,T-188,Non-Fatal,1.0
7452,CONDOR 3+2,Non-Fatal,1.0
7468,47GL,Fatal(1),1.0
7472,19A,Non-Fatal,1.0
7473,AS-341G,Non-Fatal,1.0
7477,A23A,Fatal(2),1.0
7481,B-58,Non-Fatal,2.0
7487,PA-28-J3A5D,Fatal(3),1.0
7488,PAPPILLON,Fatal(1),2.0
7490,G-164B,Fatal(1),1.0
7496,BEARCAT 150,Fatal(1),1.0
7498,150F,Incident,1.0
7512,P-210N,Fatal(2),1.0
7514,SATALAR,Non-Fatal,1.0
7518,AT-400A,Non-Fatal,1.0
7523,99,Incident,2.0
7525,172RGII,Non-Fatal,1.0
7528,185C,Non-Fatal,1.0
7529,SA26AT,Non-Fatal,2.0
7533,EM-110P1,Non-Fatal,2.0
7534,PA-30,Fatal(3),2.0
7535,47-G4A,Non-Fatal,1.0
7541,382G,Incident,4.0
7543,A33,Non-Fatal,1.0
7544,C-150K,Non-Fatal,1.0
7550,F4U-5,Non-Fatal,1.0
7551,206B-III,Fatal(1),1.0
7552,310K,Fatal(2),2.0
7554,PA-23,Fatal(2),2.0
7560,PA-31P,Fatal(1),2.0
7563,152-II,Fatal(1),1.0
7583,DC-10-30,Non-Fatal,3.0
7586,E-55,Non-Fatal,2.0
7589,1121,Non-Fatal,2.0
7590,PA-28-181,Fatal(5),1.0
7591,U206A,Fatal(2),1.0
7596,PA-28-236,Fatal(2),1.0
7598,19A SPORT III,Incident,1.0
7599,PA-32RT-301T,Fatal(2),1.0
7606,C-172F,Non-Fatal,1.0
7609,STEEN SKY BONT,Non-Fatal,1.0
7610,ROTORWAY EXECUTIVE,Non-Fatal,1.0
7618,BE-24,Non-Fatal,1.0
7621,S-150,Non-Fatal,1.0
7623,FH-100,Non-Fatal,1.0
7624,PA-31,Fatal(3),2.0
7625,421B,Fatal(6),2.0
7630,BN-2A-8,Non-Fatal,2.0
7631,AT-300,Non-Fatal,1.0
7635,J-3BR503,Fatal(1),1.0
7636,BE-200,Incident,2.0
7638,M6235,Non-Fatal,1.0
7640,200C,Non-Fatal,2.0
7643,PA 31-350,Non-Fatal,2.0
7646,172Q,Fatal(1),1.0
7647,RITZ MODEL A,Fatal(1),1.0
7650,172 M,Non-Fatal,1.0
7652,VEGA-1,Non-Fatal,1.0
7658,112TCA,Fatal(4),1.0
7660,TIERRA II,Fatal(1),1.0
7663,M4-220,Non-Fatal,1.0
7667,727-23,Incident,3.0
7669,C172,Non-Fatal,1.0
7671,G102 ASTIR CS,Non-Fatal,0.0
7673,EAGLE C-7,Non-Fatal,0.0
7676,SPECIAL S2A,Non-Fatal,1.0
7677,KA6CR,Non-Fatal,0.0
7679,310H,Fatal(3),2.0
7680,150-K,Non-Fatal,1.0
7683,BE-90,Non-Fatal,2.0
7684,PA-28RT-201,Fatal(6),1.0
7685,PA-28-235,Fatal(4),1.0
7686,BENSON B-8M,Fatal(1),1.0
7697,206L-1,Fatal(4),1.0
7699,310N,Non-Fatal,2.0
7701,PA-28R-200,Fatal(1),1.0
7710,PA-28RT-201T,Fatal(1),1.0
7713,COMFORT,Non-Fatal,1.0
7714,C-45G,Incident,2.0
7715,T-28B,Fatal(2),1.0
7721,18-56,Fatal(2),2.0
7730,DRAGON FLY 294,Non-Fatal,1.0
7733,PA 23-1300,Non-Fatal,2.0
7737,EZE,Non-Fatal,1.0
7740,STARDUSTER SA300,Fatal(2),1.0
7743,SWALLOW B,Non-Fatal,1.0
7748,H-18,Fatal(1),2.0
7750,B36,Fatal(2),1.0
7754,C-177B,Non-Fatal,1.0
7755,PA-12-115,Non-Fatal,1.0
7758,727-224,Incident,3.0
7764,PA-31-350,Fatal(5),2.0
7765,SD3-30,Incident,2.0
7775,TATERBUG SB-1,Non-Fatal,1.0
7779,A-98,Non-Fatal,1.0
7786,C23,Fatal(4),1.0
7793,J-5A,Non-Fatal,1.0
7794,FLY BABY 1A,Non-Fatal,1.0
7803,402C,Fatal(4),2.0
7808,CHINOOK,Non-Fatal,1.0
7811,337E,Non-Fatal,2.0
7812,175,Fatal(3),1.0
7815,A36TC,Fatal(2),1.0
7816,C90,Incident,2.0
7817,14-19-3,Non-Fatal,1.0
7832,PA-28R-200,Incident,1.0
7833,N-35,Non-Fatal,1.0
7837,500 COMMANDER,Non-Fatal,2.0
7839,402B,Fatal(6),2.0
7840,210-5(205),Fatal(4),1.0
7841,500-B,Non-Fatal,2.0
7845,AM-1 (MAULER),Non-Fatal,1.0
7847,172 E,Non-Fatal,1.0
7861,JUNGMANN,Non-Fatal,1.0
7864,CL-600 CHALLENGER,Non-Fatal,2.0
7865,S-2-B,Non-Fatal,1.0
7866,180-A,Non-Fatal,1.0
7872,R22A,Non-Fatal,1.0
7881,AS 355F,Fatal(4),2.0
7883,65,Fatal(1),2.0
7884,F33A,Fatal(1),1.0
7887,DH 114,Non-Fatal,4.0
7898,560F,Non-Fatal,2.0
7903,BE-18D,Non-Fatal,2.0
7907,FIRE FLY 7,Non-Fatal,0.0
7910,O-58A,Non-Fatal,1.0
7912,AA-5A,Fatal(4),1.0
7913,8GCBC,Fatal(2),1.0
7920,AA-1C,Fatal(2),1.0
7932,BABY ACE CM-1,Non-Fatal,1.0
7933,BE23,Non-Fatal,1.0
7934,EASY RISER,Non-Fatal,1.0
7946,PA-28R-201,Fatal(1),1.0
7947,AA-5A,Fatal(1),1.0
7949,114A,Fatal(2),1.0
7950,1903A,Fatal(1),1.0
7951,FALCON,Non-Fatal,1.0
7953,C-172M,Non-Fatal,1.0
7958,MONNETT MONI,Fatal(1),1.0
7963,L-19E,Non-Fatal,1.0
7982,G-73T,Incident,2.0
7983,A23-24,Fatal(1),1.0
7987,BP-1,Fatal(1),1.0
7993,MU-2B-60,Fatal(1),2.0
7997,320,Non-Fatal,2.0
8007,AT-6D,Fatal(2),1.0
8008,C-119,Non-Fatal,2.0
8013,M-18C,Non-Fatal,1.0
8025,DC-8-63,Non-Fatal,4.0
8026,PA-34-220T,Fatal(6),2.0
8057,GLASAIR,Non-Fatal,1.0
8059,SD3-30,Non-Fatal,2.0
8063,PA-28R-200,Fatal(2),1.0
8064,PA-32-260,Fatal(5),1.0
8067,AS 315B,Non-Fatal,1.0
8068,21,Non-Fatal,1.0
8069,PA-60-601P,Fatal(2),2.0
8071,PJ-1 (ADVENTURE),Non-Fatal,1.0
8073,310Q,Fatal(3),2.0
8078,2B,Non-Fatal,1.0
8088,SA-102.5,Non-Fatal,1.0
8090,LS3,Fatal(1),0.0
8092,172RG,Fatal(4),1.0
8096,SGS 1-26D,Non-Fatal,0.0
8104,PA-23-250,Fatal(3),2.0
8111,TIGER MOTH DH 82A,Fatal(2),1.0
8113,VULTEE L-13A,Non-Fatal,1.0
8114,STALLINS 195,Non-Fatal,1.0
8122,140,Fatal(2),1.0
8128,B23,Fatal(1),1.0
8137,S-1,Fatal(1),1.0
8143,MINI-PLANE,Non-Fatal,1.0
8144,SMITH MINI DSA-1,Non-Fatal,1.0
8152,RNF,Non-Fatal,1.0
8158,172RG,Fatal(2),1.0
8162,PA-31-325,Non-Fatal,2.0
8164,FIREFLY 7,Incident,0.0
8168,C-2,Fatal(1),1.0
8175,T-10R263,Fatal(2),1.0
8183,S-2R,Fatal(1),1.0
8187,UH-1B,Fatal(1),1.0
8188,M-18C,Fatal(1),1.0
8192,310R,Fatal(2),2.0
8195,C188,Non-Fatal,1.0
8197,UH-12E (SOLOY),Non-Fatal,1.0
8203,TP206D,Non-Fatal,1.0
8206,LAKE LA-4,Fatal(1),1.0
8209,BAE-146,Incident,4.0
8213,C150,Non-Fatal,1.0
8215,H-700-SP,Non-Fatal,1.0
8216,BONANZA F33A,Non-Fatal,1.0
8217,PA-31S 2,Non-Fatal,2.0
8222,SA-300,Non-Fatal,1.0
8228,DHC 6-300,Non-Fatal,2.0
8230,TU-10,Fatal(2),1.0
8234,BE95A55,Non-Fatal,2.0
8235,F21,Non-Fatal,1.0
8249,DHC-7-102,Incident,4.0
8255,CL-600,Non-Fatal,2.0
8263,U206G,Incident,1.0
8266,35,Fatal(2),1.0
8274,MK-12,Fatal(1),2.0
8284,108-3,Fatal(4),1.0
8289,F-6F5,Non-Fatal,1.0
8290,FLT STAR,Non-Fatal,1.0
8293,LIL TOOT,Non-Fatal,1.0
8296,337,Fatal(1),2.0
8297,210E,Fatal(1),1.0
8298,Q-2,Fatal(1),1.0
8299,G35,Fatal(1),1.0
8300,QUICKSILVER MX,Fatal(1),4.0
8310,III,Non-Fatal,1.0
8326,D-45,Fatal(1),1.0
8330,305C,Non-Fatal,1.0
8335,GN1,Non-Fatal,1.0
8346,727-35,Incident,3.0
8364,180H,Fatal(1),1.0
8371,BE35G,Fatal(1),1.0
8372,727-200,Incident,2.0
8376,2150-A,Non-Fatal,1.0
8378,BE35,Non-Fatal,1.0
8381,LAZAIR II,Fatal(1),2.0
8389,OLDFIELD BABY LAKES,Non-Fatal,1.0
8399,CUBY WAG-A-BOND,Non-Fatal,1.0
8401,415,Non-Fatal,1.0
8406,QUICKSILVER GT,Fatal(1),1.0
8409,M20D,Fatal(2),1.0
8412,150L,Fatal(3),1.0
8413,U-206-GII,Non-Fatal,1.0
8414,C190,Non-Fatal,1.0
8418,PITTS SPECIAL S-1S,Non-Fatal,1.0
8422,SONERAI I,Non-Fatal,1.0
8429,EAGLE 2,Non-Fatal,1.0
8431,BB-55,Fatal(1),2.0
8432,L-188,Fatal(4),4.0
8435,AS 355 F ECUREUIL,Non-Fatal,2.0
8447,727-222,Non-Fatal,3.0
8450,A-9B,Fatal(1),1.0
8451,180G,Fatal(2),1.0
8457,M-2,Non-Fatal,1.0
8458,M-5-210C,Fatal(2),1.0
8459,727-31,Incident,3.0
8460,BARRACUDA,Non-Fatal,1.0
8471,L-5E,Non-Fatal,1.0
8475,G-111,Incident,2.0
8479,S2A,Non-Fatal,1.0
8480,65-C,Non-Fatal,1.0
8481,A185F,Fatal(2),1.0
8486,14-13,Non-Fatal,1.0
8491,1900C,Incident,2.0
8494,23A,Fatal(3),2.0
8496,47G-3,Non-Fatal,1.0
8502,720-025,Incident,4.0
8520,295,Non-Fatal,1.0
8538,SKYOTE,Non-Fatal,1.0
8539,C-118A,Non-Fatal,4.0
8541,182K,Fatal(2),1.0
8543,PA-18A,Fatal(1),1.0
8547,182R II,Non-Fatal,1.0
8551,V77,Non-Fatal,1.0
8552,THORPE T-18,Non-Fatal,1.0
8554,RALLY 3A,Non-Fatal,1.0
8557,MU-2N,Non-Fatal,2.0
8566,UH-12E,Fatal(1),1.0
8567,RLU-1A,Non-Fatal,1.0
8579,747-122,Incident,4.0
8584,WIZARD T38,Non-Fatal,1.0
8589,NOMAD II,Non-Fatal,1.0
8591,L-1011-385-3,Non-Fatal,3.0
8596,222,Non-Fatal,2.0
8598,SA-227-TT,Incident,2.0
8600,STARDUSTER II,Non-Fatal,1.0
8608,DC-9-31,Non-Fatal,2.0
8610,250,Non-Fatal,1.0
8612,47G2A,Non-Fatal,1.0
8621,PA-36-300,Non-Fatal,1.0
8626,AA-5,Fatal(2),1.0
8627,VARIEZE 100,Fatal(1),1.0
8628,ZUGVOGEL IIIB,Non-Fatal,0.0
8631,SGS 2-33,Non-Fatal,0.0
8635,T-206,Non-Fatal,1.0
8638,SGS 1-26A,Non-Fatal,0.0
8641,C35,Fatal(4),1.0
8642,47-G2,Non-Fatal,1.0
8654,SNS-8,Fatal(1),1.0
8655,C-188,Fatal(1),1.0
8656,188,Fatal(1),1.0
8658,DC-8-73,Incident,4.0
8660,AT400,Non-Fatal,1.0
8662,AERONCA 7GC,Non-Fatal,1.0
8673,AS-350D,Fatal(3),1.0
8674,150H,Fatal(1),1.0
8676,100-180,Fatal(1),1.0
8686,T188C,Fatal(2),1.0
8687,G-164B,Fatal(2),1.0
8688,480,Fatal(2),2.0
8691,TA,Non-Fatal,1.0
8694,CH-19E,Non-Fatal,1.0
8697,50M,Non-Fatal,1.0
8721,SKY PUP,Fatal(1),1.0
8722,707-323C,Incident,4.0
8724,GLASAIR RG,Fatal(1),1.0
8725,T-28,Non-Fatal,1.0
8737,15AC,Non-Fatal,1.0
8747,QUICKSILVER MARK II,Non-Fatal,1.0
8750,SGS-126D,Non-Fatal,0.0
8773,172RG,Fatal(3),1.0
8774,DC-8-54,Incident,4.0
8775,C-82A,Incident,2.0
8780,UH 12 D,Non-Fatal,1.0
8782,737-130,Incident,2.0
8783,PA-28-180,Fatal(4),1.0
8788,A-2A,Non-Fatal,1.0
8793,HAWK B,Fatal(1),1.0
8794,269B,Fatal(2),1.0
8804,FG-1A,Fatal(1),1.0
8812,500C/369HS,Non-Fatal,1.0
8814,11AC,Fatal(1),1.0
8815,402C,Fatal(1),2.0
8818,LAKE LA-4-200,Non-Fatal,1.0
8821,PA-32RT-301T,Non-Fatal,1.0
8826,RALLY SPORT,Non-Fatal,1.0
8831,PDQ2VW,Non-Fatal,1.0
8833,RUTAN LONG EZ,Non-Fatal,1.0
8839,PFLEDGLING,Fatal(1),1.0
8840,AKRO-MASTER,Fatal(1),1.0
8841,20E,Non-Fatal,1.0
8852,P-51 MUSTANG X,Non-Fatal,1.0
8856,RX 6,Non-Fatal,0.0
8864,B55,Fatal(1),2.0
8867,F-28A,Incident,1.0
8868,ZUNI II,Non-Fatal,0.0
8871,M5-180C,Non-Fatal,1.0
8879,222UT,Non-Fatal,2.0
8886,REARWIN 8125,Non-Fatal,1.0
8894,414A,Fatal(4),2.0
8896,EAGLE 2 PLC,Non-Fatal,1.0
8902,ACEY DEUCY P70,Non-Fatal,1.0
8906,AA-5,Fatal(1),1.0
8907,PHOEBUS C,Fatal(1),0.0
8909,UPF-7,Fatal(1),1.0
8920,M-18LA,Fatal(1),1.0
8921,QUICKSILVER MXL,Fatal(1),1.0
8922,FLEDGLING,Non-Fatal,1.0
8932,95,Fatal(2),2.0
8935,172NII,Non-Fatal,1.0
8936,SF-27M,Non-Fatal,1.0
8939,B-2,Non-Fatal,1.0
8941,LFA,Fatal(1),1.0
8952,337G,Non-Fatal,2.0
8958,WIZARD J-3B,Fatal(1),1.0
8959,201,Non-Fatal,1.0
8966,680T,Non-Fatal,2.0
8970,R-22A,Non-Fatal,1.0
8971,UNKNOWN,Non-Fatal,1.0
8980,FN-333,Non-Fatal,1.0
8981,DRIFTER,Fatal(1),1.0
8985,C-45-H,Non-Fatal,2.0
8996,J4A,Fatal(1),1.0
8998,BO-105C,Fatal(2),2.0
8999,AB,Non-Fatal,0.0
9001,PA-31T,Fatal(6),2.0
9003,TU206C,Non-Fatal,1.0
9007,DSA-1,Non-Fatal,1.0
9012,182G-460,Fatal(4),1.0
9014,4000,Fatal(1),1.0
9016,P-51D,Fatal(2),1.0
9021,OWL RACER,Non-Fatal,1.0
9026,182H,Fatal(1),1.0
9027,PA-34-220T,Fatal(2),2.0
9029,DW1,Fatal(1),1.0
9031,KC-135A,Incident,4.0
9039,C-45H,Incident,2.0
9051,SKY RIDER,Fatal(1),1.0
9052,369D,Fatal(2),1.0
9056,58 E,Non-Fatal,2.0
9068,421,Fatal(3),2.0
9069,204 UH 1B,Non-Fatal,1.0
9070,DHC-1B,Fatal(1),1.0
9073,THRUSH S2R,Non-Fatal,1.0
9080,28RT-201T,Non-Fatal,1.0
9085,MINI COUPE,Fatal(1),1.0
9090,G-21A,Fatal(4),2.0
9096,60-TF,Non-Fatal,1.0
9102,DHC-6-300,Fatal(1),2.0
9105,A36,Fatal(5),1.0
9107,150K AEROBAT,Non-Fatal,1.0
9110,ACRO - SPORT #1,Non-Fatal,1.0
9113,COUGAR 1,Non-Fatal,1.0
9117,BT-13,Non-Fatal,1.0
