,Model,Injury.Severity,Number.of.Engines
227,BK-1,Non-Fatal,1.0
228,M20J,Fatal(1),1.0
229,MU2B-40,Non-Fatal,2.0
230,DC-10-10,Non-Fatal,3.0
231,150J,Non-Fatal,1.0
232,F19,Non-Fatal,1.0
234,AEROSTAR 600,Non-Fatal,2.0
235,R-22,Fatal(2),1.0
236,7KCAB,Non-Fatal,1.0
238,PA-28,Fatal(2),1.0
239,PA-32R-300,Fatal(4),1.0
241,T210L,Non-Fatal,1.0
242,A75N1,Non-Fatal,1.0
243,PA-31,Non-Fatal,2.0
245,BC12-D,Non-Fatal,1.0
247,S-55A,Non-Fatal,0.0
250,PA-28-181,Non-Fatal,1.0
251,415-C,Non-Fatal,2.0
252,182H,Non-Fatal,1.0
254,PA-24-180,Fatal(8),1.0
255,182B,Fatal(8),1.0
258,112TCA,Non-Fatal,1.0
259,PA-28-180,Non-Fatal,1.0
263,PA-38,Non-Fatal,1.0
269,C-172,Non-Fatal,1.0
270,PA-18A-150,Fatal(1),1.0
272,PA-28R-201,Non-Fatal,1.0
276,C-23,Non-Fatal,1.0
278,V35A,Fatal(1),1.0
279,200,Incident,2.0
280,310R,Non-Fatal,2.0
282,402B,Non-Fatal,2.0
283,185,Non-Fatal,1.0
285,95-C55,Fatal(2),2.0
286,172K,Non-Fatal,1.0
287,421B,Non-Fatal,2.0
288,401,Non-Fatal,2.0
289,UH-19B,Non-Fatal,1.0
290,421,Fatal(2),2.0
291,G-164B,Non-Fatal,1.0
293,PA-60-602P,Fatal(1),2.0
294,DHC-6-100,Incident,2.0
296,500,Non-Fatal,2.0
298,172K,Fatal(4),1.0
299,PA-34,Fatal(1),2.0
300,112A,Fatal(2),1.0
301,J35,Fatal(4),1.0
306,PA-18,Non-Fatal,1.0
308,7EC,Fatal(1),1.0
309,214B-1,Fatal(1),1.0
318,CP-65,Fatal(2),1.0
320,B737-2H4,Incident,2.0
321,310D,Non-Fatal,2.0
322,PA-23,Fatal(1),2.0
324,PA-28-151,Non-Fatal,1.0
327,152(II),Non-Fatal,1.0
329,PA-28R-180,Non-Fatal,1.0
331,8GCBC,Non-Fatal,1.0
332,PA-31-310,Non-Fatal,2.0
334,PA-31T2,Fatal(8),2.0
335,90,Non-Fatal,2.0
336,YS-11A,Non-Fatal,2.0
339,PA-28RT-201T,Non-Fatal,1.0
342,210,Non-Fatal,1.0
344,727-235,Non-Fatal,3.0
345,PA-23,Non-Fatal,2.0
346,EMB-11OP1,Incident,2.0
347,A36,Fatal(1),1.0
350,2T1A-2,Non-Fatal,1.0
351,B-727-200,Incident,3.0
352,PA-44-180T,Non-Fatal,2.0
353,FIREFLY,Non-Fatal,0.0
357,172A,Non-Fatal,1.0
358,58,Non-Fatal,2.0
359,P206B,Non-Fatal,1.0
360,47G2,Non-Fatal,1.0
361,404,Non-Fatal,2.0
362,51,Non-Fatal,1.0
363,172L,Fatal(1),1.0
364,182Q,Fatal(2),1.0
365,PA-36-375,Fatal(1),1.0
371,56TC,Non-Fatal,2.0
373,G-21A,Non-Fatal,2.0
374,PA-22-150,Non-Fatal,1.0
376,PA-28-180,Fatal(1),1.0
377,DHC-6,Fatal(1),2.0
378,AA-5A,Non-Fatal,1.0
379,PA-32R-301T,Non-Fatal,1.0
382,M-20C,Non-Fatal,1.0
383,7GCBC,Fatal(2),1.0
386,227C,Non-Fatal,2.0
387,8KCAB,Non-Fatal,1.0
388,HH-43F,Non-Fatal,1.0
389,14-19-3A,Fatal(2),1.0
390,421C,Non-Fatal,2.0
395,210A,Non-Fatal,1.0
396,PA-60,Non-Fatal,2.0
398,206B,Fatal(1),1.0
399,PA-60/601P,Non-Fatal,2.0
403,COMMANDER 114,Non-Fatal,1.0
404,BE-95-C55,Fatal(1),2.0
407,SA-227,Incident,2.0
408,201C,Non-Fatal,1.0
409,310Q,Non-Fatal,2.0
411,DW-1,Non-Fatal,1.0
415,23,Non-Fatal,1.0
417,D18S,Non-Fatal,2.0
418,R22,Fatal(1),1.0
419,B90,Incident,2.0
422,PA-20,Non-Fatal,1.0
423,182C,Non-Fatal,1.0
425,11AC,Incident,1.0
426,T-34B,Fatal(1),1.0
427,150G,Non-Fatal,1.0
429,170,Non-Fatal,1.0
431,320C,Non-Fatal,2.0
432,T210M,Non-Fatal,1.0
433,FIREFLY-7,Non-Fatal,0.0
435,T21OL,Fatal(6),1.0
436,BALLOON AX7,Non-Fatal,0.0
437,PA-32-260,Fatal(4),1.0
439,172L,Non-Fatal,1.0
440,SGS1-260,Non-Fatal,0.0
441,J3-F65,Non-Fatal,1.0
442,140A,Non-Fatal,1.0
445,47G,Non-Fatal,1.0
446,PA-25-235,Fatal(1),1.0
447,PDQ-2,Non-Fatal,1.0
449,PA-25-235C,Non-Fatal,1.0
452,206B III,Non-Fatal,1.0
454,A152,Fatal(2),1.0
455,415-C,Fatal(1),1.0
456,500,Non-Fatal,1.0
457,182RG,Non-Fatal,1.0
458,35-B33,Non-Fatal,1.0
459,J3F-65,Non-Fatal,1.0
460,M20F,Non-Fatal,1.0
463,206B,Fatal(2),1.0
465,12,Non-Fatal,2.0
470,B35,Non-Fatal,1.0
471,PA-36,Fatal(1),1.0
472,172,Fatal(3),1.0
474,310K,Non-Fatal,2.0
475,M20E,Fatal(1),1.0
476,PA-30,Non-Fatal,2.0
477,600,Non-Fatal,2.0
479,C-24R,Non-Fatal,1.0
480,P337H,Non-Fatal,2.0
481,B58,Non-Fatal,2.0
483,SGS-1-35,Non-Fatal,0.0
486,AX-7,Non-Fatal,0.0
489,M20K,Non-Fatal,1.0
496,114,Non-Fatal,1.0
500,DGA-15P,Non-Fatal,1.0
504,UH-12E,Non-Fatal,1.0
505,T188C,Non-Fatal,1.0
506,707-131B,Incident,4.0
507,PA-28-140,Incident,1.0
510,RS-15,Non-Fatal,0.0
513,E18S,Non-Fatal,2.0
514,PA-23 250,Non-Fatal,2.0
515,SA-266TC,Incident,2.0
519,12E,Non-Fatal,1.0
520,S-2R,Non-Fatal,1.0
521,210D,Fatal(1),1.0
522,DC-9-82,Incident,2.0
523,172,Fatal(2),1.0
525,2150A,Non-Fatal,1.0
528,CB-1,Non-Fatal,1.0
529,U-206,Non-Fatal,1.0
532,262A-12,Incident,2.0
533,T337C,Fatal(1),2.0
535,95-55,Non-Fatal,2.0
536,95-B55,Non-Fatal,2.0
538,172G,Non-Fatal,1.0
541,PA-38-112,Non-Fatal,2.0
543,PA-34-200,Non-Fatal,2.0
544,F33A,Non-Fatal,1.0
547,501,Non-Fatal,2.0
549,182J,Non-Fatal,1.0
551,A36TC,Non-Fatal,1.0
553,M-1,Non-Fatal,1.0
555,210G,Fatal(2),1.0
556,120,Non-Fatal,1.0
557,AA-1,Fatal(6),1.0
558,KC-135A,Fatal(6),4.0
560,PA-32-301T,Non-Fatal,1.0
561,182B,Non-Fatal,1.0
562,H-295,Non-Fatal,1.0
565,C-1,Non-Fatal,1.0
568,200,Non-Fatal,2.0
569,PA-28,Non-Fatal,2.0
574,C-45H,Fatal(1),2.0
575,T188C,Fatal(1),1.0
576,PA-18-135,Non-Fatal,1.0
578,210M,Non-Fatal,1.0
579,B24R,Non-Fatal,1.0
582,T210G,Non-Fatal,1.0
585,PA-31P,Non-Fatal,2.0
588,58,Fatal(1),2.0
589,340A,Fatal(3),2.0
590,402C,Incident,2.0
593,C24R,Fatal(1),1.0
597,M20K,Fatal(1),1.0
598,PA-18-150,Fatal(1),1.0
601,PA-28RT-201,Non-Fatal,1.0
604,UH12E,Non-Fatal,1.0
606,J3C-65,Incident,1.0
607,401,Fatal(5),2.0
608,PA-24-260,Fatal(2),1.0
609,421,Fatal(1),2.0
610,BD-4,Fatal(2),1.0
613,180J,Non-Fatal,1.0
616,47J-2A,Non-Fatal,1.0
617,F35,Fatal(3),1.0
620,B-8M,Fatal(1),1.0
623,NA-265-80,Incident,2.0
624,172F,Incident,1.0
627,8E,Non-Fatal,1.0
631,F-28A,Non-Fatal,1.0
632,P-2 BIPLANE,Non-Fatal,1.0
633,HP-10,Non-Fatal,0.0
635,H-369HS,Non-Fatal,1.0
636,M20E,Non-Fatal,1.0
638,U206G,Fatal(2),1.0
639,T210M,Fatal(5),1.0
640,PA-32R,Non-Fatal,1.0
642,R-22,Non-Fatal,1.0
643,AA-5B,Non-Fatal,1.0
645,PHOEBUS C,Non-Fatal,0.0
648,SA316B,Non-Fatal,1.0
652,310B,Non-Fatal,2.0
661,690A,Non-Fatal,2.0
662,BC-12D,Non-Fatal,1.0
663,65-A90,Non-Fatal,2.0
666,PA-44,Incident,2.0
667,AC-100,Non-Fatal,1.0
669,707-123B,Non-Fatal,4.0
670,PA-28-201T,Non-Fatal,1.0
672,PA-28-236,Non-Fatal,1.0
674,SCORPION TOO,Non-Fatal,1.0
676,G159-C,Incident,2.0
677,65-88,Incident,2.0
684,T182RG,Non-Fatal,1.0
687,58,Fatal(6),2.0
688,M20F,Fatal(3),1.0
691,PA-28-235,Non-Fatal,1.0
694,108-2,Fatal(4),1.0
695,175,Non-Fatal,1.0
696,150F,Non-Fatal,1.0
697,RF4D,Non-Fatal,1.0
698,25,Non-Fatal,1.0
702,PA-28-140,Fatal(4),1.0
705,PA-11,Non-Fatal,1.0
706,PA-32-301T,Non-Fatal,2.0
707,C-46A,Non-Fatal,2.0
708,M2OJ,Fatal(2),1.0
709,690C,Fatal(1),2.0
712,415-C,Non-Fatal,1.0
713,182K,Non-Fatal,1.0
714,100,Non-Fatal,1.0
717,B35,Fatal(2),1.0
719,SA226TC,Incident,2.0
726,A185E,Fatal(2),1.0
729,206-F,Non-Fatal,1.0
735,BO-105CBS,Fatal(3),2.0
736,M35,Fatal(4),1.0
737,SABRELINER 65,Incident,2.0
738,PA-31P,Incident,2.0
741,205,Non-Fatal,1.0
742,PA-36,Non-Fatal,1.0
743,210N,Non-Fatal,1.0
745,D55,Non-Fatal,2.0
746,7-B,Non-Fatal,0.0
747,A36,Fatal(2),1.0
751,B35,Fatal(3),1.0
754,601P,Non-Fatal,2.0
760,402B,Incident,2.0
761,95,Non-Fatal,2.0
765,PA-44-180,Non-Fatal,1.0
768,SA226TC,Non-Fatal,2.0
770,A185E,Non-Fatal,1.0
771,S-58J,Non-Fatal,2.0
772,E55,Fatal(2),2.0
773,M20B,Fatal(2),1.0
774,320F,Fatal(3),2.0
776,NAVION A,Non-Fatal,1.0
779,G-164,Non-Fatal,1.0
780,PA-23-150,Non-Fatal,2.0
786,AT-400,Non-Fatal,1.0
790,C-18S,Non-Fatal,2.0
793,PA-25-235,Non-Fatal,1.0
794,177,Fatal(3),1.0
795,3/4 SPITFIRE,Non-Fatal,1.0
796,727-200,Incident,3.0
797,47G-2A,Non-Fatal,1.0
798,11AC,Non-Fatal,1.0
801,PA-23-170,Non-Fatal,2.0
802,206,Non-Fatal,1.0
803,182M,Fatal(3),1.0
810,A152,Fatal(1),1.0
812,182,Fatal(1),1.0
813,369D,Fatal(3),1.0
814,47G-4,Non-Fatal,1.0
815,S1S,Non-Fatal,1.0
819,PA-22-160,Non-Fatal,1.0
820,F-19,Non-Fatal,1.0
822,AEROSTAR 602P,Non-Fatal,2.0
825,AS350D ASTAR,Non-Fatal,1.0
826,269B,Non-Fatal,1.0
832,108-1,Non-Fatal,1.0
834,FGID(F4U),Non-Fatal,1.0
836,K.R.1,Non-Fatal,1.0
837,170A,Non-Fatal,1.0
840,PA-32R-300,Fatal(3),1.0
843,VARIEZE,Non-Fatal,1.0
844,SPEED ASTIR II,Fatal(1),0.0
845,ASW-20,Fatal(1),0.0
851,PA-25-235D,Non-Fatal,1.0
852,SA 318C,Fatal(2),1.0
853,SA315B,Non-Fatal,1.0
854,222,Fatal(3),2.0
855,M20J,Fatal(3),1.0
856,210-5,Fatal(4),1.0
857,M-4-220C,Fatal(1),1.0
858,77,Non-Fatal,1.0
859,182G,Non-Fatal,1.0
863,PA-34-200J,Non-Fatal,2.0
864,VP2,Non-Fatal,1.0
865,172N,Fatal(3),1.0
867,1-126E,Non-Fatal,0.0
868,369HS,Fatal(3),1.0
869,210D,Non-Fatal,1.0
871,S2R-600,Non-Fatal,1.0
872,B-19,Non-Fatal,1.0
873,8A,Non-Fatal,1.0
876,M-5-210C,Non-Fatal,1.0
877,SGS-2-33A,Non-Fatal,0.0
878,150,Non-Fatal,2.0
879,B19,Non-Fatal,1.0
