,Make,Injury.Severity,Number.of.Engines,Engine.Type
13411,Hawker Siddeley,Non-Fatal,2.0,Turbo Jet
13423,Parsons,Fatal(2),1.0,Reciprocating
13424,Grumman American,Fatal(3),1.0,Reciprocating
13429,Lonnie W. Ratliff,Fatal(1),1.0,Reciprocating
13433,Dassault,Fatal(6),3.0,Turbo Fan
13435,"Dorfman,william A.",Non-Fatal,1.0,Reciprocating
13449,John Patrick Coleman,Fatal(1),1.0,Reciprocating
13454,Gary E. Wilson,Non-Fatal,1.0,Reciprocating
13456,Brisbin,Non-Fatal,1.0,Reciprocating
13470,Lagatore,Fatal(1),1.0,Reciprocating
13476,Balloon Works,Non-Fatal,1.0,Unknown
13484,Gensen,Non-Fatal,1.0,Reciprocating
13487,North American,Incident,2.0,Turbo Jet
13498,Bill Mccarley,Non-Fatal,1.0,Reciprocating
13509,Rockwell,Fatal(7),2.0,Reciprocating
13510,"Griffin, Thomas",Fatal(1),1.0,Reciprocating
13514,Israel Aircraft Industries,Non-Fatal,2.0,Turbo Jet
13582,Learjet,Fatal(3),2.0,Turbo Fan
13584,Douglas C. Campbell,Non-Fatal,1.0,Reciprocating
13597,Douglas,Fatal(256),4.0,Turbo Jet
13602,Robert D. Campbell,Fatal(1),1.0,Reciprocating
13618,Adams William C,Non-Fatal,1.0,Reciprocating
13704,Monnet,Non-Fatal,1.0,Reciprocating
13705,Douglas,Fatal(7),2.0,Reciprocating
13789,World Wide Industries,Non-Fatal,1.0,Reciprocating
13793,Hiller-soloy,Fatal(1),1.0,Turbo Shaft
13837,Socata,Non-Fatal,1.0,Reciprocating
13854,Vangrunsven,Fatal(1),1.0,Reciprocating
13867,Striplin,Non-Fatal,1.0,Reciprocating
13889,Stephenson,Fatal(1),1.0,Reciprocating
13894,Commings,Non-Fatal,1.0,Reciprocating
13899,Bushby,Fatal(2),1.0,Reciprocating
13900,Kuhn,Non-Fatal,1.0,Reciprocating
13926,Naval Aircraft Factory,Fatal(2),1.0,Reciprocating
13929,Mitsubishi,Non-Fatal,2.0,Turbo Jet
13944,Mcdonnell Douglas,Fatal(3),1.0,Turbo Shaft
13945,Piper,Non-Fatal,0.0,Unknown
13955,Universal Aircraft Industries,Non-Fatal,1.0,Reciprocating
13964,Lockheed,Non-Fatal,3.0,Turbo Jet
13971,Wayne Mathews,Non-Fatal,1.0,Reciprocating
13996,Whigham,Fatal(1),0.0,Unknown
14003,Henley,Non-Fatal,1.0,Reciprocating
14005,Cessna,Non-Fatal,1.0,Turbo Prop
14039,Dassault,Non-Fatal,2.0,Turbo Fan
14065,Folsom,Non-Fatal,1.0,Reciprocating
14082,Swanningson,Fatal(1),1.0,Reciprocating
14084,Patrick Henry,Non-Fatal,1.0,Reciprocating
14087,Miller,Non-Fatal,1.0,Reciprocating
14093,Mitsubishi,Fatal(5),2.0,Turbo Prop
14143,Embraer,Fatal(3),2.0,Turbo Prop
14154,Mcfarland,Fatal(2),1.0,Reciprocating
14160,Shaffer,Non-Fatal,1.0,Reciprocating
14182,Durkota,Fatal(2),1.0,Reciprocating
14185,Sikorsky,Incident,2.0,Turbo Shaft
14187,De Havilland,Fatal(2),2.0,Reciprocating
14196,Jim Elliott,Non-Fatal,1.0,Reciprocating
14203,Ltv,Incident,1.0,Turbo Fan
14205,Glen Davis,Fatal(1),1.0,Reciprocating
14242,Christen Industries,Fatal(1),1.0,Reciprocating
14243,Bob White,Non-Fatal,1.0,Reciprocating
14259,Lockheed,Fatal(3),1.0,Reciprocating
14265,Easley,Non-Fatal,1.0,Reciprocating
14276,Joachim Hoehne,Non-Fatal,1.0,Reciprocating
14287,Donald R. Casper,Fatal(1),1.0,Reciprocating
14316,Israel Aircraft Industries,Fatal(7),2.0,Turbo Fan
14340,Perkins,Non-Fatal,1.0,Reciprocating
14365,Morley,Non-Fatal,1.0,Reciprocating
14374,Beagle Aircraft,Fatal(2),2.0,Reciprocating
14379,Steinorth,Non-Fatal,1.0,Reciprocating
14392,Rjb Aviation,Non-Fatal,1.0,Reciprocating
14435,Taylor Lonsdale,Fatal(2),1.0,Reciprocating
14441,Vere Eze,Non-Fatal,1.0,Reciprocating
14451,Blythe,Non-Fatal,1.0,Reciprocating
14452,Baby Bird,Non-Fatal,1.0,Reciprocating
14461,Day,Non-Fatal,1.0,Reciprocating
14462,Ltv Aerospace Industries,Non-Fatal,1.0,Turbo Fan
14501,Russell,Non-Fatal,1.0,Reciprocating
14528,Glaser-dirks,Fatal(1),1.0,Reciprocating
14538,Aviation Adv.,Non-Fatal,1.0,Reciprocating
14540,Wing Aircraft Co.,Non-Fatal,2.0,Reciprocating
14560,Conner,Non-Fatal,1.0,Reciprocating
14566,Hanson,Non-Fatal,1.0,Reciprocating
14574,Wright,Fatal(1),1.0,Reciprocating
14585,Glaser-dirks,Non-Fatal,1.0,Reciprocating
14599,Gulfstream,Fatal(6),2.0,Turbo Prop
14601,Brewster,Non-Fatal,1.0,Reciprocating
14627,Milliken,Fatal(1),1.0,Reciprocating
14652,Beaupre Elfering,Non-Fatal,1.0,Reciprocating
14675,Wsk,Non-Fatal,1.0,Reciprocating
14677,Lake,Fatal(4),1.0,Reciprocating
14681,Aerospatiale,Fatal(1),1.0,Reciprocating
14706,Jackman,Non-Fatal,1.0,Reciprocating
14707,Myers,Non-Fatal,1.0,Reciprocating
14714,Collin Campbell,Non-Fatal,1.0,Reciprocating
14716,Denney Aerocraft,Non-Fatal,1.0,Reciprocating
14741,Soward,Fatal(1),1.0,Reciprocating
14760,Lake,Fatal(3),1.0,Reciprocating
14762,Jerry Cox,Non-Fatal,1.0,Reciprocating
14763,Langeford,Non-Fatal,1.0,Reciprocating
14776,Fly Baby,Non-Fatal,1.0,Reciprocating
14784,Arbaugh Evans,Non-Fatal,1.0,Reciprocating
14787,Morris B. Stephens,Non-Fatal,1.0,Reciprocating
14790,Hispano Aviacion,Non-Fatal,1.0,Reciprocating
14805,Grumman,Incident,2.0,Turbo Jet
14812,Meyers Aircraft Co.,Fatal(1),1.0,Reciprocating
14813,Bauer's Mitchell Wing,Fatal(1),1.0,Reciprocating
14814,Bernard Darmstadt,Fatal(1),1.0,Reciprocating
14828,Green,Non-Fatal,1.0,Reciprocating
14836,Air,Non-Fatal,1.0,Reciprocating
14838,Mbb,Fatal(3),2.0,Turbo Shaft
14846,Rose,Non-Fatal,1.0,Reciprocating
14877,Sikorsky,Fatal(4),2.0,Turbo Shaft
14882,Hall Christen Eagle,Non-Fatal,1.0,Reciprocating
14890,Nelson/nelson,Non-Fatal,1.0,Reciprocating
14901,Carnes,Fatal(1),1.0,Reciprocating
14906,Randy Tredo,Non-Fatal,1.0,Reciprocating
14909,Beaver,Non-Fatal,1.0,Reciprocating
14940,Sanders,Fatal(2),1.0,Reciprocating
14947,Repliea 78 Ral,Fatal(1),1.0,Reciprocating
14948,Mbb,Fatal(1),2.0,Turbo Shaft
14953,Robbins,Fatal(2),1.0,Reciprocating
14981,Bensen-jansen,Fatal(1),1.0,Reciprocating
14993,Edward R. Merkner,Non-Fatal,1.0,Reciprocating
15012,Bell,Fatal(25),1.0,Turbo Shaft
15013,De Havilland,Fatal(25),2.0,Turbo Prop
15035,Quick Silver,Non-Fatal,1.0,Reciprocating
15054,Mellema,Non-Fatal,1.0,Reciprocating
15055,Steen Skybolt,Non-Fatal,1.0,Turbo Prop
15060,Charles S.hatchette,Non-Fatal,1.0,Reciprocating
15106,Martin Company,Fatal(3),2.0,Reciprocating
15127,Culver,Non-Fatal,1.0,Reciprocating
15130,Mathew M. Kerr,Non-Fatal,1.0,Reciprocating
15148,Ayres,Fatal(1),1.0,Turbo Prop
15158,Piasecki Acft. Corp.,Fatal(1),4.0,Reciprocating
15201,Lazarini,Non-Fatal,1.0,Reciprocating
15286,Stainbrook,Non-Fatal,1.0,Reciprocating
15304,Jerry Berry,Non-Fatal,1.0,Reciprocating
15312,Cessna,Fatal(3),2.0,Turbo Prop
15317,Burkhart Grob,Fatal(1),0.0,Unknown
15324,Goertz Bushby,Non-Fatal,1.0,Reciprocating
15330,Stevenson,Non-Fatal,1.0,Reciprocating
15334,Bell-campbell,Non-Fatal,1.0,Reciprocating
15336,Whittman,Fatal(3),1.0,Reciprocating
15342,Patton Pitts,Non-Fatal,1.0,Reciprocating
15343,Weiss-haynes,Fatal(1),1.0,Reciprocating
15353,Rose Rhinehart,Non-Fatal,1.0,Reciprocating
15370,Hansen,Non-Fatal,1.0,Reciprocating
15390,Troutman,Non-Fatal,1.0,Reciprocating
15396,Huizenga,Non-Fatal,1.0,Reciprocating
15397,Randolph R.clark,Non-Fatal,1.0,Reciprocating
15411,Woodrow S.a.,Fatal(1),1.0,Reciprocating
15420,Kenneth Patsch,Fatal(1),1.0,Reciprocating
15422,Playmate,Fatal(1),1.0,Reciprocating
15424,Steven Soper,Non-Fatal,1.0,Reciprocating
15440,Interstate,Fatal(2),1.0,Reciprocating
15451,Samuel R. Hoskins,Non-Fatal,1.0,Reciprocating
15452,Wheeler,Non-Fatal,1.0,Reciprocating
15453,Bomberger,Non-Fatal,1.0,Reciprocating
15454,Schempp-hirth,Non-Fatal,1.0,Reciprocating
15470,Capetown Builders,Non-Fatal,1.0,Reciprocating
15483,Collins Charles A,Fatal(2),1.0,Reciprocating
15484,Hawker Siddeley,Fatal(2),2.0,Turbo Jet
15489,Jaks,Non-Fatal,1.0,Reciprocating
15493,Attebery-stainbrook,Fatal(1),1.0,Reciprocating
15502,"Thorp Aero, Inc.",Non-Fatal,1.0,Reciprocating
15504,Pate,Non-Fatal,1.0,Reciprocating
15507,Ward,Fatal(1),1.0,Reciprocating
15512,Bernard,Fatal(1),1.0,Reciprocating
15520,Navion,Non-Fatal,2.0,Reciprocating
15555,E. E. Schilling,Non-Fatal,1.0,Reciprocating
15564,Gray,Fatal(1),1.0,Reciprocating
15583,David Gordon,Non-Fatal,1.0,Reciprocating
15612,Senior Aero Sport,Fatal(2),1.0,Reciprocating
15615,Wise,Non-Fatal,1.0,Reciprocating
15625,Roger Warnell,Non-Fatal,1.0,Reciprocating
15635,Curtiss,Non-Fatal,1.0,Reciprocating
15674,Glasair,Fatal(3),1.0,Reciprocating
15675,Star-lite,Fatal(1),1.0,Reciprocating
15682,I.c.a. Brasov,Non-Fatal,1.0,Reciprocating
15683,Erickson,Non-Fatal,1.0,Reciprocating
15690,Schempp-hirth,Fatal(1),0.0,Unknown
15691,Russell Post,Fatal(1),1.0,Reciprocating
15696,Brennan,Non-Fatal,1.0,Reciprocating
15703,Mayala,Non-Fatal,1.0,Reciprocating
15721,Passonno,Fatal(1),1.0,Reciprocating
15725,Hegsted,Non-Fatal,1.0,Reciprocating
15732,Cessna,Fatal(7),2.0,Turbo Prop
15736,Friling/cothern,Non-Fatal,1.0,Reciprocating
15746,Piper,Fatal(1),2.0,Turbo Prop
15759,Eugene Boos,Non-Fatal,1.0,Reciprocating
15768,Benham,Non-Fatal,1.0,Reciprocating
15779,Piper,Fatal(82),1.0,Reciprocating
15780,Mcdonnell Douglas,Fatal(82),2.0,Turbo Fan
15785,Phillips,Non-Fatal,1.0,Reciprocating
15799,Lawrence,Fatal(1),1.0,Reciprocating
15800,Joe Almon,Non-Fatal,1.0,Reciprocating
15803,Shanks/becker,Non-Fatal,1.0,Reciprocating
15804,Steen Skybolt,Fatal(2),1.0,Reciprocating
15827,Ellis,Non-Fatal,1.0,Reciprocating
15838,Cameron,Incident,1.0,Reciprocating
15864,Christen Industries,Fatal(2),1.0,Reciprocating
15873,Tapaszy,Fatal(1),1.0,Reciprocating
15883,Rarsch,Non-Fatal,1.0,Reciprocating
15903,Murphy,Non-Fatal,1.0,Reciprocating
15904,Wsk Pzl Mielec,Fatal(1),1.0,Reciprocating
15934,Forbes-wolfram Special,Non-Fatal,1.0,Reciprocating
15946,Alexander,Non-Fatal,0.0,Unknown
15955,Nord (sncan),Non-Fatal,1.0,Reciprocating
15963,Jerome Dodge,Fatal(1),1.0,Reciprocating
15967,Inav,Non-Fatal,1.0,Reciprocating
15976,Mitsubishi,Incident,2.0,Turbo Jet
15977,Cessna,Fatal(1),2.0,Turbo Jet
15978,Star Duster,Non-Fatal,1.0,Reciprocating
15991,Mccoy Robert-michael,Non-Fatal,1.0,Reciprocating
15993,White Lightning Aircraft Corp.,Non-Fatal,1.0,Reciprocating
16001,Floyd R.harris,Non-Fatal,1.0,Reciprocating
16003,Walter D. Burleson,Non-Fatal,1.0,Reciprocating
16013,Cameron,Non-Fatal,1.0,Unknown
16043,Gillon,Non-Fatal,1.0,Reciprocating
16044,Smith & R. Mathews,Non-Fatal,1.0,Reciprocating
16061,Stahl-ameter,Non-Fatal,1.0,Reciprocating
16081,Mcdonnell Douglas,Non-Fatal,1.0,Turbo Shaft
16123,Buhl,Non-Fatal,1.0,Reciprocating
16137,James Olivier,Fatal(1),1.0,Reciprocating
16138,Brown,Fatal(1),1.0,Reciprocating
16152,Jere L. Rosser,Fatal(1),1.0,Reciprocating
16156,Interstate,Fatal(1),1.0,Reciprocating
16157,Short Brothers,Non-Fatal,1.0,Turbo Prop
16187,Murrayair,Non-Fatal,1.0,Reciprocating
16194,Hughes,Incident,1.0,Turbo Shaft
16207,Ralley,Non-Fatal,1.0,Reciprocating
16217,Bushby,Fatal(1),1.0,Reciprocating
16232,Koons-donald,Fatal(1),1.0,Reciprocating
16266,Boeing,Fatal(1),3.0,Turbo Fan
16268,Mcdonnell Douglas,Non-Fatal,3.0,Turbo Jet
16283,Houk,Non-Fatal,1.0,Reciprocating
16288,Turnbloom,Non-Fatal,1.0,Reciprocating
16330,Hickham,Non-Fatal,1.0,Reciprocating
16342,Devries,Non-Fatal,1.0,Reciprocating
16359,Mullinax,Non-Fatal,1.0,Reciprocating
16363,Rohdecap/thorp,Non-Fatal,1.0,Reciprocating
16395,Moore-van,Fatal(1),1.0,Reciprocating
16407,North American-maslon,Non-Fatal,1.0,Reciprocating
16444,Beech,Non-Fatal,2.0,Unknown
16462,North American Rockwell Corp.,Fatal(1),1.0,Reciprocating
16477,Beech,Fatal(6),2.0,Turbo Prop
16488,Solem,Non-Fatal,1.0,Reciprocating
16494,Christen Industries,Non-Fatal,1.0,Reciprocating
16510,Atr,Incident,2.0,Turbo Prop
16522,Beggs,Fatal(1),1.0,Reciprocating
16574,Kosch,Non-Fatal,2.0,Reciprocating
16580,Fokker,Non-Fatal,2.0,Turbo Jet
16581,American Aviation Corp. (aac),Fatal(2),1.0,Reciprocating
16601,Varga,Fatal(1),1.0,Reciprocating
16646,Mooney,Fatal(10),1.0,Reciprocating
16647,Swearingen,Fatal(10),2.0,Turbo Prop
16651,Morrisey,Fatal(2),1.0,Reciprocating
16652,Cessna,Fatal(1),1.0,Turbo Prop
16657,Marrone,Fatal(1),1.0,Reciprocating
16668,Dornier,Incident,2.0,Turbo Prop
16674,Emroth Emair,Non-Fatal,1.0,Reciprocating
16703,Michael D. Mansfield,Fatal(2),1.0,Reciprocating
16716,British Aircraft Corp. (bac),Incident,2.0,Turbo Fan
16747,Air Command,Fatal(1),1.0,Reciprocating
16770,Sikorsky,Fatal(2),2.0,Turbo Shaft
16836,Richard A. Brown,Fatal(2),1.0,Reciprocating
16837,Boeing,Fatal(1),4.0,Turbo Jet
16865,Cessna,Fatal(2),2.0,Turbo Prop
16915,British Aerospace,Non-Fatal,4.0,Turbo Fan
16929,Strissel,Non-Fatal,1.0,Reciprocating
16935,Casa,Fatal(9),2.0,Turbo Prop
16979,Resney,Non-Fatal,1.0,Reciprocating
17027,Kenny Deward,Non-Fatal,1.0,Reciprocating
17061,Barlow,Non-Fatal,1.0,Reciprocating
17083,Aero Mirage,Fatal(1),1.0,Reciprocating
17114,Jones,Non-Fatal,1.0,Reciprocating
17118,Replica,Non-Fatal,1.0,Reciprocating
17126,Agusta,Incident,2.0,Turbo Shaft
17134,Dassault-breguet,Incident,3.0,Turbo Fan
17155,North American,Non-Fatal,2.0,Reciprocating
17184,Verbeek,Non-Fatal,1.0,Reciprocating
17209,Lockheed,Fatal(5),4.0,Turbo Prop
17218,Sprague,Fatal(1),1.0,Reciprocating
17249,Boeing,Fatal(4),4.0,Turbo Fan
17261,Mclachlan,Non-Fatal,1.0,Reciprocating
17283,Hunter,Non-Fatal,1.0,Reciprocating
17290,Devore Sunbird,Non-Fatal,1.0,Reciprocating
17295,Cremer,Non-Fatal,1.0,Reciprocating
17305,Jagger,Non-Fatal,1.0,Reciprocating
17318,Dornier,Non-Fatal,2.0,Turbo Prop
17339,Mclane,Non-Fatal,1.0,Reciprocating
17358,North American,Fatal(1),1.0,Turbo Jet
17366,Frimelt Werner Moni,Non-Fatal,1.0,Reciprocating
17369,Spartan,Non-Fatal,1.0,Reciprocating
17390,Canadair,Incident,2.0,Turbo Fan
17394,Law,Non-Fatal,1.0,Reciprocating
17424,North American,Fatal(4),1.0,Reciprocating
17458,Woehrle,Fatal(2),1.0,Reciprocating
17468,Beausoleil,Non-Fatal,1.0,Reciprocating
17471,Moss Timothy C,Non-Fatal,1.0,Reciprocating
17473,Casa,Fatal(2),2.0,Turbo Prop
17476,Stinson,Incident,1.0,Reciprocating
17485,Chance Vought,Fatal(2),1.0,Reciprocating
17495,Learjet,Fatal(2),2.0,Turbo Fan
17536,Noonan,Non-Fatal,1.0,Reciprocating
17552,Piper,Fatal(3),2.0,Turbo Prop
17553,Meyer,Non-Fatal,1.0,Reciprocating
17559,Jauch,Fatal(1),1.0,Reciprocating
17563,Northrop,Fatal(4),2.0,Turbo Jet
17574,Huffman,Fatal(1),1.0,Reciprocating
17580,Moni,Non-Fatal,1.0,Reciprocating
17584,Butler,Non-Fatal,1.0,Reciprocating
17602,Socata,Fatal(3),1.0,Reciprocating
17603,British Aerospace,Non-Fatal,2.0,Turbo Prop
17616,Hiller,Fatal(1),1.0,Turbo Shaft
17636,Ham,Non-Fatal,1.0,Reciprocating
17643,Aerodynamics .,Non-Fatal,1.0,Reciprocating
17672,Douglas,Fatal(1),1.0,Turbo Jet
17674,Zank,Fatal(1),1.0,Reciprocating
17676,Gaston/lakes,Non-Fatal,1.0,Reciprocating
17695,Bushby,Non-Fatal,1.0,Reciprocating
17704,Balloon Works,Fatal(1),0.0,Unknown
17741,Greco Bruno,Non-Fatal,2.0,Reciprocating
17767,Bannwart,Non-Fatal,1.0,Reciprocating
17782,Kennedy,Non-Fatal,1.0,Reciprocating
17803,Denney,Non-Fatal,1.0,Reciprocating
17822,Talbott,Non-Fatal,1.0,Reciprocating
17845,Mcentee,Fatal(1),1.0,Reciprocating
17873,Steen,Fatal(2),1.0,Reciprocating
17889,Rollins,Fatal(2),1.0,Reciprocating
17912,Teague,Non-Fatal,1.0,Reciprocating
17917,Lowder,Non-Fatal,1.0,Reciprocating
17972,Aerospatiale,Fatal(1),2.0,Turbo Shaft
17973,Beech,Fatal(10),2.0,Reciprocating
17981,Mcculloch,Fatal(1),1.0,Reciprocating
17982,Christian,Fatal(2),1.0,Reciprocating
17986,Noble,Non-Fatal,1.0,Reciprocating
17987,Kiesel,Non-Fatal,1.0,Reciprocating
18003,Dornier,Non-Fatal,1.0,Reciprocating
18005,Wayne Hooks,Non-Fatal,1.0,Reciprocating
18047,Great Lakes Adams,Fatal(1),1.0,Reciprocating
18052,Budde Cassutt,Non-Fatal,1.0,Reciprocating
18098,Dubois,Non-Fatal,1.0,Reciprocating
18116,Fleet,Non-Fatal,1.0,Reciprocating
18121,Beech,Fatal(4),2.0,Turbo Prop
18125,Hastings,Non-Fatal,1.0,Reciprocating
18145,Temco,Non-Fatal,1.0,Turbo Jet
18175,Aero Commander,Fatal(4),2.0,Reciprocating
18195,Hendrickson,Fatal(1),1.0,Reciprocating
18197,Davis,Non-Fatal,1.0,Reciprocating
18221,Scharschmidt,Non-Fatal,1.0,Reciprocating
18225,Roe/pietenpol,Non-Fatal,1.0,Reciprocating
18236,Watts,Fatal(1),1.0,Reciprocating
18259,Rushton,Non-Fatal,1.0,Reciprocating
18278,Buccaneer,Fatal(1),1.0,Reciprocating
18353,Allen,Fatal(1),1.0,Reciprocating
18356,Burkholder,Non-Fatal,1.0,Reciprocating
18360,Arnold,Non-Fatal,1.0,Reciprocating
18404,Embree,Non-Fatal,1.0,Reciprocating
18407,Grumman,Incident,2.0,Turbo Shaft
18424,Fleet,Fatal(1),1.0,Reciprocating
18430,Boeing,Incident,0.0,Unknown
18431,Mcdonnell Douglas,Fatal(156),2.0,Turbo Fan
18433,Maxfield,Non-Fatal,1.0,Reciprocating
18470,Quickie,Fatal(2),1.0,Reciprocating
18476,Reder,Fatal(2),1.0,Reciprocating
18482,Lutz,Fatal(1),1.0,Reciprocating
18486,Sawyer,Fatal(1),1.0,Reciprocating
18494,Boeing,Non-Fatal,4.0,Reciprocating
18521,Canton,Non-Fatal,1.0,Reciprocating
18557,Boyles,Non-Fatal,1.0,Reciprocating
18562,Hall,Non-Fatal,1.0,Reciprocating
18564,Government Aircraft Fact (gaf),Non-Fatal,2.0,Turbo Prop
18590,Tomishin,Non-Fatal,1.0,Reciprocating
18608,National Balloon,Non-Fatal,0.0,Unknown
18639,Kolb Company,Fatal(2),1.0,Reciprocating
18644,Woody,Non-Fatal,1.0,Reciprocating
18678,Geiger,Non-Fatal,1.0,Reciprocating
18686,Mercer,Fatal(1),1.0,Reciprocating
18709,Schweizer,Fatal(1),1.0,Turbo Prop
18721,Commonwealth,Fatal(3),1.0,Reciprocating
18745,Ellsworth,Non-Fatal,1.0,Reciprocating
18750,Bakeng,Non-Fatal,1.0,Reciprocating
18756,De Havilland,Non-Fatal,2.0,Reciprocating
18761,G&c Helicopters,Non-Fatal,1.0,Reciprocating
18762,Bennetter-stevens,Non-Fatal,1.0,Reciprocating
18776,Willi/bensen,Non-Fatal,1.0,Reciprocating
18799,Nixon,Non-Fatal,1.0,Reciprocating
18810,Embraer,Fatal(1),2.0,Turbo Prop
18833,Casa,Non-Fatal,2.0,Turbo Prop
18842,Fokker,Incident,2.0,Turbo Jet
18873,Klien,Non-Fatal,1.0,Reciprocating
18875,Ward,Non-Fatal,1.0,Reciprocating
18904,Rogers-gibson,Fatal(1),1.0,Reciprocating
18925,Watkins/monnett,Non-Fatal,1.0,Reciprocating
18933,Questair,Non-Fatal,1.0,Reciprocating
18936,Dassault-breguet,Fatal(3),2.0,Turbo Fan
18948,Napper,Non-Fatal,1.0,Reciprocating
18950,Extra Flugzeugbau,Fatal(1),1.0,Reciprocating
18952,Pugh,Non-Fatal,1.0,Reciprocating
18981,National Balloon,Non-Fatal,1.0,Unknown
19020,Stits,Fatal(1),1.0,Reciprocating
19021,Warnke,Non-Fatal,1.0,Reciprocating
19045,Parrish,Non-Fatal,1.0,Reciprocating
19064,Merchant,Non-Fatal,1.0,Reciprocating
19072,Couden,Fatal(2),1.0,Reciprocating
19075,Durbin,Non-Fatal,1.0,Reciprocating
19093,Lamb,Fatal(1),1.0,Reciprocating
19102,Herman,Non-Fatal,1.0,Reciprocating
19110,Mcdonnell Douglas,Incident,0.0,Unknown
19140,Sadler,Non-Fatal,1.0,Reciprocating
19149,Alexander Volksplane,Non-Fatal,1.0,Reciprocating
19158,Stoopin,Fatal(2),1.0,Reciprocating
19168,Crump,Non-Fatal,1.0,Reciprocating
19173,Mcdonnell Douglas,Fatal(28),2.0,Turbo Fan
19178,Mandley,Non-Fatal,1.0,Reciprocating
19203,Isgrigg,Non-Fatal,1.0,Reciprocating
19211,Beech,Fatal(18),2.0,Turbo Prop
19299,British Aerospace,Fatal(43),4.0,Turbo Fan
19342,Boeing,Unavailable,0.0,Unknown
19343,Fairchild,Fatal(2),1.0,Reciprocating
19362,Aerospatiale,Fatal(15),2.0,Turbo Shaft
19391,Crusenberry,Non-Fatal,1.0,Reciprocating
19417,Flagg,Fatal(1),1.0,Reciprocating
19448,Piper,Fatal(1),0.0,Unknown
19450,Burkhart Grob,Fatal(1),1.0,Reciprocating
19455,Fairchild,Fatal(3),2.0,Turbo Prop
19484,Gulfstream American,Fatal(3),1.0,Reciprocating
19499,Meyer,Fatal(1),1.0,Reciprocating
19500,Hawker Siddeley,Fatal(1),2.0,Turbo Jet
19502,Aerospatiale,Incident,2.0,Turbo Prop
19514,Fairchild,Fatal(9),2.0,Turbo Prop
19528,Dassault-breguet,Incident,2.0,Turbo Fan
19556,Colman,Non-Fatal,1.0,Reciprocating
19572,Timm,Non-Fatal,1.0,Reciprocating
19595,Cessna,Non-Fatal,0.0,Unknown
19618,British Aerospace,Fatal(3),2.0,Turbo Prop
19620,Hess,Non-Fatal,1.0,Reciprocating
19624,Gribosh,Fatal(1),1.0,Reciprocating
19679,Hill,Fatal(1),1.0,Reciprocating
19691,Fairchild,Fatal(12),2.0,Turbo Prop
19707,Hodges,Non-Fatal,1.0,Reciprocating
19722,Shiner,Non-Fatal,1.0,Reciprocating
19744,Weber,Non-Fatal,1.0,Reciprocating
19749,Bunch Eaa Biplane,Fatal(1),1.0,Reciprocating
19751,Morane-saulnier,Non-Fatal,1.0,Reciprocating
19756,Barnett,Non-Fatal,1.0,Reciprocating
19761,Perkins,Fatal(2),1.0,Reciprocating
19763,Grosvenor,Non-Fatal,1.0,Reciprocating
19779,Government Aircraft Fact (gaf),Incident,2.0,Turbo Prop
19786,Hawker Siddeley,Non-Fatal,2.0,Turbo Prop
19810,Page,Non-Fatal,1.0,Reciprocating
19833,Surline,Fatal(2),1.0,Reciprocating
19845,Paxton,Non-Fatal,1.0,Reciprocating
19866,Marrek Smyth,Non-Fatal,1.0,Reciprocating
19873,Marlow Hilyard,Non-Fatal,1.0,Reciprocating
19876,Kitchen,Non-Fatal,1.0,Reciprocating
19924,Avian,Non-Fatal,0.0,Unknown
19928,Dreyer-starduster,Non-Fatal,1.0,Reciprocating
19959,Beech,Non-Fatal,0.0,Unknown
19978,Burkhart Grob,Fatal(2),0.0,Unknown
19996,Start & Flug,Non-Fatal,0.0,Unknown
20002,Cessna,Fatal(5),0.0,Unknown
20028,Neff,Fatal(1),1.0,Reciprocating
20039,Anderson Pitts,Non-Fatal,1.0,Reciprocating
20040,Falcon Special,Non-Fatal,1.0,Reciprocating
20041,Steen,Fatal(1),1.0,Reciprocating
20054,Fischer,Non-Fatal,1.0,Reciprocating
20073,Fokker,Non-Fatal,2.0,Turbo Fan
20081,Henderson,Non-Fatal,1.0,Reciprocating
20084,Boeing,Non-Fatal,2.0,Unknown
20112,Curtis,Fatal(1),1.0,Reciprocating
20123,Mcdonnell Douglas,Fatal(2),0.0,Unknown
20130,Cirrus Design Corp.,Non-Fatal,0.0,Unknown
20134,Hernandez,Fatal(2),1.0,Reciprocating
20142,Maule,Incident,0.0,Unknown
20169,Boeing,Fatal(1),2.0,Turbo Fan
20192,New,Non-Fatal,1.0,Reciprocating
20199,Schumann,Fatal(1),1.0,Reciprocating
20201,Hyde,Non-Fatal,1.0,Reciprocating
20216,Stolp-starduster Too,Non-Fatal,1.0,Reciprocating
20222,Hurd/drifter,Non-Fatal,1.0,Reciprocating
20237,Starr,Non-Fatal,1.0,Reciprocating
20272,Judge,Non-Fatal,1.0,Reciprocating
20283,Curtiss-wright,Fatal(3),1.0,Reciprocating
20344,Bell,Unavailable,0.0,Unknown
20361,Mccurry,Non-Fatal,1.0,Reciprocating
20364,Hudson,Non-Fatal,1.0,Reciprocating
20371,Learjet,Fatal(4),2.0,Turbo Fan
20372,Aerospatiale,Fatal(4),1.0,Turbo Shaft
20378,Chappel,Fatal(1),1.0,Reciprocating
20427,Lloyd Feary,Non-Fatal,1.0,Reciprocating
20450,Bost,Non-Fatal,1.0,Reciprocating
20459,Gulfstream American,Fatal(2),1.0,Reciprocating
20487,Bohnker,Non-Fatal,1.0,Reciprocating
20510,Byron/sorrell,Non-Fatal,1.0,Reciprocating
