,Make,Injury.Severity,Number.of.Engines,Engine.Type
465,Bell,Non-Fatal,2.0,Turbo Shaft
477,Smith Aerostar,Non-Fatal,2.0,Reciprocating
496,Rockwell Intl,Non-Fatal,1.0,Reciprocating
500,Howard Aircraft Corp.,Non-Fatal,1.0,Reciprocating
504,Hiller,Non-Fatal,1.0,Turbo Shaft
506,Boeing,Incident,4.0,Turbo Fan
510,Schreder,Non-Fatal,0.0,Unknown
519,Hiller,Non-Fatal,1.0,Reciprocating
522,Douglas,Incident,2.0,Turbo Fan
525,Varga,Non-Fatal,1.0,Reciprocating
528,Hatz,Non-Fatal,1.0,Reciprocating
532,Nord Aviation,Incident,2.0,Turbo Prop
547,Cessna,Non-Fatal,2.0,Turbo Jet
553,Crook,Non-Fatal,1.0,Reciprocating
557,American Yankee,Fatal(6),1.0,Reciprocating
558,Boeing,Fatal(6),4.0,Turbo Jet
562,Helio,Non-Fatal,1.0,Reciprocating
565,Colonial,Non-Fatal,1.0,Reciprocating
584,Gulfstream American,Non-Fatal,1.0,Reciprocating
589,Cessna,Fatal(3),2.0,Reciprocating
590,Cessna,Incident,2.0,Reciprocating
607,Cessna,Fatal(5),2.0,Reciprocating
610,Bede Aircraft,Fatal(2),1.0,Reciprocating
617,Beech,Fatal(3),1.0,Reciprocating
620,Benson,Fatal(1),1.0,Reciprocating
623,Rockwell,Incident,2.0,Turbo Jet
624,Cessna,Incident,1.0,Reciprocating
627,Luscombe,Non-Fatal,1.0,Reciprocating
632,Mckinley Eaa,Non-Fatal,1.0,Reciprocating
633,Airmate,Non-Fatal,0.0,Unknown
639,Cessna,Fatal(5),1.0,Reciprocating
642,Robinson,Non-Fatal,1.0,Reciprocating
645,B??lkow,Non-Fatal,0.0,Unknown
654,Snow,Non-Fatal,1.0,Reciprocating
661,Rockwell,Non-Fatal,2.0,Turbo Prop
667,Rockwell Commander,Non-Fatal,1.0,Reciprocating
669,Boeing,Non-Fatal,4.0,Turbo Jet
674,Rotorway,Non-Fatal,1.0,Reciprocating
676,Gulfstream,Incident,2.0,Turbo Prop
677,Beech,Incident,2.0,Reciprocating
687,Beech,Fatal(6),2.0,Reciprocating
688,Mooney,Fatal(3),1.0,Reciprocating
692,Champion,Non-Fatal,1.0,Reciprocating
694,Stinson,Fatal(4),1.0,Reciprocating
697,Fournier Aviation,Non-Fatal,1.0,Reciprocating
707,Curtiss-wright,Non-Fatal,2.0,Reciprocating
709,Gulfstream American,Fatal(1),2.0,Turbo Prop
712,Ercoupe,Non-Fatal,1.0,Reciprocating
714,Aero Commander,Non-Fatal,1.0,Reciprocating
735,Mbb-bolkow,Fatal(3),2.0,Turbo Shaft
737,Rockwell,Incident,2.0,Turbo Fan
754,Piper-aerostar,Non-Fatal,2.0,Reciprocating
764,Rockwell Intl.,Non-Fatal,1.0,Reciprocating
771,Sikorsky,Non-Fatal,2.0,Turbo Shaft
776,Ryan,Non-Fatal,1.0,Reciprocating
786,Air Tractor,Non-Fatal,1.0,Turbo Prop
795,Jurca,Non-Fatal,1.0,Reciprocating
796,Boeing,Incident,3.0,Turbo Fan
813,Hughes,Fatal(3),1.0,Turbo Shaft
815,Martin-pitts,Non-Fatal,1.0,Reciprocating
825,S.n.i.a.s.,Non-Fatal,1.0,Turbo Shaft
832,Stinson,Non-Fatal,1.0,Reciprocating
834,Goodyear,Non-Fatal,1.0,Reciprocating
836,Rand,Non-Fatal,1.0,Reciprocating
843,Rutan,Non-Fatal,1.0,Reciprocating
844,Burkhart Grob Flugzeugbah,Fatal(1),0.0,Unknown
845,Schleicher,Fatal(1),0.0,Unknown
852,Sud Aviation,Fatal(2),1.0,Turbo Shaft
854,Bell,Fatal(3),2.0,Turbo Shaft
857,Maule,Fatal(1),1.0,Reciprocating
860,Avres Corp.,Non-Fatal,1.0,Reciprocating
861,Grum Amer,Non-Fatal,1.0,Reciprocating
864,Evans Aircraft,Non-Fatal,1.0,Reciprocating
867,Schweizer Sgs,Non-Fatal,0.0,Unknown
871,Ayres,Non-Fatal,1.0,Reciprocating
881,Smith,Fatal(1),1.0,Reciprocating
884,Stampe Renard,Non-Fatal,1.0,Reciprocating
885,Piper,Fatal(3),2.0,Reciprocating
891,Fairchild,Non-Fatal,1.0,Reciprocating
894,De Havilland,Non-Fatal,1.0,Reciprocating
905,Hughes,Non-Fatal,1.0,Turbo Prop
912,Mitsubishi,Fatal(6),2.0,Turbo Prop
919,Pitts Special,Non-Fatal,1.0,Reciprocating
926,Bell,Fatal(2),2.0,Turbo Shaft
930,Tailwind,Non-Fatal,1.0,Reciprocating
935,Hiller-soloy,Non-Fatal,1.0,Turbo Shaft
937,Mooney,Fatal(4),1.0,Reciprocating
939,Aerotek-pitts,Non-Fatal,1.0,Reciprocating
950,S.n.i.a.s.,Fatal(1),1.0,Turbo Shaft
951,Avian Balloon,Non-Fatal,0.0,Unknown
959,Hartman,Non-Fatal,1.0,Reciprocating
960,Spezio,Fatal(1),1.0,Reciprocating
965,Dauntless,Fatal(2),1.0,Reciprocating
982,Bellanca,Fatal(1),1.0,Reciprocating
988,Mbb,Fatal(4),2.0,Turbo Shaft
989,Boeing,Fatal(1),1.0,Reciprocating
992,Bell/soloy,Fatal(1),1.0,Reciprocating
996,Raz-mut,Fatal(1),1.0,Reciprocating
1007,Smith,Non-Fatal,2.0,Reciprocating
1011,Christian,Non-Fatal,1.0,Reciprocating
1027,Funk Aircraft Co.,Non-Fatal,1.0,Reciprocating
1028,Benson,Non-Fatal,1.0,Reciprocating
1030,Beech,Incident,1.0,Reciprocating
1035,Mong Sport,Non-Fatal,1.0,Reciprocating
1052,Rayan,Non-Fatal,1.0,Reciprocating
1053,Starfire,Fatal(1),1.0,Reciprocating
1058,Great Lakes,Fatal(2),1.0,Reciprocating
1064,Osprey,Non-Fatal,1.0,Reciprocating
1069,Hudson,Fatal(1),1.0,Reciprocating
1072,Rockwell Intl,Non-Fatal,1.0,Turbo Prop
1083,Grumman,Non-Fatal,1.0,Turbo Prop
1086,Continental,Fatal(1),1.0,Reciprocating
1087,Beech,Fatal(7),2.0,Turbo Prop
1093,Gates Learjet,Fatal(4),2.0,Turbo Jet
1106,Scorpion,Non-Fatal,1.0,Reciprocating
1112,"Thunder Balloons, Ltd.",Non-Fatal,0.0,Unknown
1113,Smith Aerostar,Fatal(3),2.0,Reciprocating
1114,Moore Bell,Fatal(1),1.0,Reciprocating
1119,Blanik,Fatal(1),0.0,Unknown
1121,Piper,Non-Fatal,4.0,Reciprocating
1126,Taylor,Non-Fatal,1.0,Reciprocating
1129,Luscombe,Fatal(2),1.0,Reciprocating
1140,Lake,Non-Fatal,1.0,Reciprocating
1141,Brantley,Fatal(1),1.0,Reciprocating
1148,Bryan,Non-Fatal,0.0,Unknown
1150,Bell 47g-3b,Non-Fatal,1.0,Reciprocating
1162,Gulfstream American,Fatal(2),2.0,Turbo Prop
1164,Gates Learjet,Incident,2.0,Turbo Jet
1181,Volmer Aircraft,Non-Fatal,1.0,Reciprocating
1185,Beechcraft,Fatal(3),1.0,Reciprocating
1188,Citabria,Non-Fatal,1.0,Reciprocating
1197,Martin,Non-Fatal,2.0,Reciprocating
1199,Beech,Fatal(4),2.0,Reciprocating
1200,Nash Cassutt Racer,Non-Fatal,1.0,Reciprocating
1202,Aero Commander,Non-Fatal,2.0,Reciprocating
1208,Playmate,Non-Fatal,1.0,Reciprocating
1216,De Havilland,Non-Fatal,2.0,Turbo Prop
1222,Navion,Non-Fatal,1.0,Reciprocating
1231,Oldfield,Non-Fatal,1.0,Reciprocating
1250,Gulfstream American,Incident,2.0,Turbo Prop
1278,Blanik,Non-Fatal,0.0,Unknown
1283,Bac,Incident,2.0,Turbo Jet
1292,Broyill-cowan-murray,Fatal(1),0.0,Unknown
1295,Douglas,Non-Fatal,2.0,Turbo Jet
1311,Erco,Non-Fatal,1.0,Reciprocating
1313,Brantly,Non-Fatal,1.0,Reciprocating
1319,Luscombe,Fatal(1),1.0,Reciprocating
1343,Douglas,Non-Fatal,3.0,Turbo Fan
1347,Douglas,Incident,4.0,Turbo Jet
1350,Bell,Fatal(3),1.0,Turbo Shaft
1356,Callair,Non-Fatal,1.0,Reciprocating
1362,Piper,Incident,2.0,Turbo Prop
1363,Consolidated Aeronautics Inc.,Non-Fatal,1.0,Reciprocating
1364,Beech,Fatal(5),2.0,Reciprocating
1377,Continental Mk5a,Non-Fatal,1.0,Reciprocating
1387,Arctic,Non-Fatal,1.0,Reciprocating
1390,Douglas,Non-Fatal,4.0,Turbo Fan
1394,Thurston,Fatal(1),1.0,Reciprocating
1396,Swanson,Non-Fatal,1.0,Reciprocating
1397,Adams,Non-Fatal,0.0,Unknown
1399,Mignet,Non-Fatal,1.0,Reciprocating
1402,Starduster,Fatal(1),1.0,Reciprocating
1430,Douglas,Non-Fatal,1.0,Reciprocating
1436,Beechcraft,Fatal(5),2.0,Reciprocating
1440,Hardie,Non-Fatal,0.0,Unknown
1453,Savage,Fatal(1),1.0,Reciprocating
1460,Starke,Non-Fatal,1.0,Reciprocating
1464,Mccall,Fatal(2),1.0,Reciprocating
