,Make,Aircraft.Category,Number.of.Engines,Engine.Type,Injury.Severity
61967,Piper,Airplane,1.0,Reciprocating,Non-Fatal
61969,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
61975,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
61981,Raytheon,Airplane,,,Non-Fatal
61982,Airborne Windsports Ltd,Airplane,1.0,Reciprocating,Non-Fatal
61984,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
61985,Tanker,Airplane,1.0,Reciprocating,Non-Fatal
61986,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
61987,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
61989,Piper,Airplane,1.0,Reciprocating,Non-Fatal
61990,Aviat,Airplane,1.0,Reciprocating,Non-Fatal
61991,Cirrus Design,Airplane,1.0,Reciprocating,Non-Fatal
61996,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
61999,Piper,Airplane,1.0,Turbo Prop,Non-Fatal
62000,"Bombardier, Inc.",Airplane,2.0,Turbo Prop,Non-Fatal
62008,Raytheon Aircraft Company,Airplane,2.0,Turbo Prop,Non-Fatal
62010,Cessna,Airplane,1.0,Reciprocating,Fatal(2)
62011,Socata,Airplane,1.0,Turbo Prop,Fatal(3)
62012,C.w Crane,Airplane,1.0,Reciprocating,Non-Fatal
62020,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62021,Beech,Airplane,1.0,Reciprocating,Non-Fatal
62024,Beech,Airplane,2.0,Turbo Shaft,Fatal(3)
62027,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62029,American Champion,Airplane,1.0,Reciprocating,Non-Fatal
62031,Aero Commander,Airplane,1.0,Reciprocating,Non-Fatal
62034,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62035,Mooney Aircraft Corp.,Airplane,1.0,Reciprocating,Non-Fatal
62037,Beech,Airplane,1.0,Reciprocating,Fatal(4)
62040,Wampole,Airplane,1.0,Reciprocating,Fatal(1)
62041,Fortuna,Airplane,1.0,Reciprocating,Non-Fatal
62043,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62046,Airbus,Airplane,2.0,Turbo Fan,Incident
62047,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62049,Maule,Airplane,1.0,Reciprocating,Non-Fatal
62051,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62053,Burkhart-grob,Airplane,1.0,Reciprocating,Non-Fatal
62058,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62059,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62060,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62064,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62065,Peay,Airplane,1.0,Reciprocating,Non-Fatal
62066,Flight Design Gmbh,Airplane,1.0,Reciprocating,Non-Fatal
62067,Luscombe,Airplane,1.0,Reciprocating,Non-Fatal
62068,American Legend,Airplane,1.0,Reciprocating,Non-Fatal
62075,"Van's Aircraft, Inc",Airplane,1.0,Reciprocating,Non-Fatal
62076,Maule,Airplane,1.0,Reciprocating,Non-Fatal
62082,Flight Design,Airplane,1.0,Reciprocating,Non-Fatal
62091,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62092,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62093,Gulfstream-schweizer,Airplane,1.0,Reciprocating,Non-Fatal
62095,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62098,Cirrus Design Corp.,Airplane,1.0,Reciprocating,Non-Fatal
62102,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62104,Waltz,Airplane,1.0,Reciprocating,Non-Fatal
62105,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62107,Boeing,Airplane,,,Non-Fatal
62113,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
62114,Ingraham,Airplane,1.0,,Fatal(1)
62115,Monocoupe,Airplane,1.0,Reciprocating,Non-Fatal
62120,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62121,Hirsch,Airplane,1.0,Reciprocating,Non-Fatal
62122,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
62123,Ogden Aubrey D,Airplane,1.0,Reciprocating,Non-Fatal
62125,Taylorcraft,Airplane,1.0,Reciprocating,Non-Fatal
62133,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62136,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62138,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
62139,Piper,Airplane,1.0,Reciprocating,Fatal(3)
62147,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62148,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62150,Beech,Airplane,2.0,Reciprocating,Fatal(2)
62151,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62153,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
62155,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62156,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62158,Polcyn,Airplane,1.0,Reciprocating,Non-Fatal
62159,Columbia,Airplane,1.0,Reciprocating,Non-Fatal
62160,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62161,Beech,Airplane,1.0,Reciprocating,Non-Fatal
62164,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62165,Cirrus Design Corp.,Airplane,1.0,Reciprocating,Non-Fatal
62166,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62168,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
62169,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62170,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62171,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62172,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62179,Pietsch,Airplane,1.0,Reciprocating,Non-Fatal
62180,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62183,Air Tractor,Airplane,1.0,Turbo Prop,Non-Fatal
62185,Caywood,Airplane,1.0,Reciprocating,Non-Fatal
62186,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62187,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62188,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62191,Aero Vodochody Aero. Works,Airplane,1.0,Turbo Jet,Fatal(1)
62198,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62200,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62202,Maule,Airplane,1.0,Reciprocating,Non-Fatal
62205,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62206,Bruce E. Hotz,Airplane,1.0,Reciprocating,Non-Fatal
62207,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
62211,Lockheed,Airplane,,Turbo Prop,Incident
62214,Champion,Airplane,1.0,Reciprocating,Non-Fatal
62216,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62219,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62224,Duffy/wagner,Airplane,1.0,Reciprocating,Non-Fatal
62226,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62227,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62228,Harrison Robert J.,Airplane,1.0,Reciprocating,Non-Fatal
62229,Stinson,Airplane,1.0,Reciprocating,Non-Fatal
62230,Beech,Airplane,1.0,Reciprocating,Non-Fatal
62231,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62232,Piper,Airplane,1.0,Reciprocating,Fatal(3)
62240,Gates Learjet,Airplane,2.0,Turbo Fan,Non-Fatal
62241,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62251,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62255,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62256,Edwards,Airplane,1.0,Reciprocating,Non-Fatal
62261,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62262,Navion,Airplane,1.0,Reciprocating,Non-Fatal
62263,Aeroprakt,Airplane,1.0,Reciprocating,Non-Fatal
62267,Learjet,Airplane,2.0,Turbo Fan,Incident
62268,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
62273,Carpenter,Airplane,1.0,Reciprocating,Non-Fatal
62277,Ac Mfg & Dev't Co,Airplane,1.0,Reciprocating,Non-Fatal
62278,Boeing,Airplane,1.0,Reciprocating,Non-Fatal
62283,Waco Classic Aircraft,Airplane,1.0,Reciprocating,Non-Fatal
62284,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62288,Beech,Airplane,2.0,Reciprocating,Non-Fatal
62291,Barnett,Airplane,1.0,Reciprocating,Non-Fatal
62292,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62295,Canadair,Airplane,2.0,Turbo Fan,Non-Fatal
62296,Cirrus Design Corp.,Airplane,1.0,Reciprocating,Incident
62299,Beech,Airplane,1.0,Reciprocating,Non-Fatal
62300,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62308,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62310,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62311,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62313,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62315,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62316,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62317,Bombardier,Airplane,2.0,Turbo Fan,Non-Fatal
62318,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62324,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
62325,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
62326,Piper,Airplane,2.0,Reciprocating,Non-Fatal
62329,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62330,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62331,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62334,Dwayne Smith,Airplane,1.0,Reciprocating,Non-Fatal
62335,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62336,Pavliga,Airplane,1.0,Reciprocating,Non-Fatal
62337,Luscombe,Airplane,1.0,Reciprocating,Non-Fatal
62345,Maule,Airplane,1.0,Reciprocating,Non-Fatal
62347,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62348,North American Aviation Div.,Airplane,1.0,Reciprocating,Non-Fatal
62350,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62351,Robert J. Goodyear,Airplane,1.0,Reciprocating,Non-Fatal
62356,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62357,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62358,Monocoupe Aircraft,Airplane,1.0,Reciprocating,Non-Fatal
62359,Cessna,Airplane,1.0,Reciprocating,Fatal(2)
62363,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62364,Cessna,Airplane,1.0,Reciprocating,Fatal(3)
62365,Johnson-whittman Tailwind,Airplane,1.0,Reciprocating,Non-Fatal
62366,Stinson,Airplane,1.0,Reciprocating,Non-Fatal
62373,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62374,Neal Anderson,Airplane,1.0,Reciprocating,Non-Fatal
62375,Diamond Aircraft Industries,Airplane,1.0,Reciprocating,Non-Fatal
62376,Pzl Warzawa-cnpsl,Airplane,1.0,Reciprocating,Non-Fatal
62377,Engineering & Research,Airplane,1.0,Reciprocating,Non-Fatal
62381,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62384,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62385,"Rans, Inc.",Airplane,1.0,Reciprocating,Non-Fatal
62390,Champion,Airplane,1.0,Reciprocating,Non-Fatal
62392,Bird,Airplane,1.0,Reciprocating,Fatal(2)
62393,Maule,Airplane,1.0,Reciprocating,Non-Fatal
62394,Champion,Airplane,1.0,Reciprocating,Non-Fatal
62396,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62402,Boeing,Airplane,2.0,Turbo Fan,Non-Fatal
62404,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62405,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
62406,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62407,Piper Aircraft,Airplane,1.0,Reciprocating,Fatal(1)
62410,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62414,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62416,Gadbois,Airplane,1.0,Reciprocating,Non-Fatal
62417,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62418,Tolsma Tony G,Airplane,1.0,Reciprocating,Non-Fatal
62419,Flagg,Airplane,1.0,Reciprocating,Non-Fatal
62420,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62421,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62425,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62426,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62430,Bishop Thomas W,Airplane,1.0,Reciprocating,Non-Fatal
62432,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62433,Acro Sport,Airplane,1.0,Reciprocating,Non-Fatal
62434,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62435,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62439,Flight Design,Airplane,1.0,Reciprocating,Non-Fatal
62440,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62441,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62442,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62443,Air Tractor,Airplane,1.0,Turbo Shaft,Non-Fatal
62446,Luscombe,Airplane,1.0,Reciprocating,Non-Fatal
62447,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62451,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62453,Mcdonnell Douglas,Airplane,3.0,Turbo Fan,Incident
62455,Grumman,Airplane,2.0,Reciprocating,Non-Fatal
62458,Cessna,Airplane,2.0,Turbo Jet,Fatal(2)
62459,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62460,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62462,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
62463,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62464,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62465,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62466,Cessna,Airplane,1.0,Reciprocating,Fatal(3)
62468,Grumman-schweizer,Airplane,1.0,Turbo Prop,Non-Fatal
62469,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62473,Stinson,Airplane,1.0,Reciprocating,Non-Fatal
62478,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62479,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
62480,Luscombe,Airplane,1.0,Reciprocating,Non-Fatal
62481,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62482,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62484,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62487,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62490,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
62491,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62492,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62493,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62494,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62495,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62496,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62498,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62503,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62504,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62505,Canadian Car & Foundry,Airplane,1.0,Reciprocating,Non-Fatal
62506,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62507,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62509,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62510,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62519,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62520,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62521,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62522,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62523,Maule,Airplane,1.0,Reciprocating,Non-Fatal
62524,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62525,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
62528,Everett,Airplane,1.0,Reciprocating,Non-Fatal
62536,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62537,Gulfstream-schweizer,Airplane,1.0,Turbo Prop,Non-Fatal
62538,Aircraft Mfg & Dev. Co. (amd),Airplane,1.0,Reciprocating,Non-Fatal
62539,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62540,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62541,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62542,Air Tractor,Airplane,1.0,Turbo Prop,Non-Fatal
62543,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62545,Maule,Airplane,1.0,Reciprocating,Non-Fatal
62548,Forney,Airplane,1.0,Reciprocating,Non-Fatal
62549,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62550,Douglas,Airplane,2.0,Turbo Jet,Non-Fatal
62551,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62554,Hanson Gerald,Airplane,1.0,Reciprocating,Non-Fatal
62555,Hillery W. Grice,Airplane,1.0,Reciprocating,Non-Fatal
62556,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62558,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62563,Luciani,Airplane,1.0,Reciprocating,Non-Fatal
62568,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
62571,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62572,Boeing Stearman,Airplane,1.0,Reciprocating,Fatal(2)
62574,Beech,Airplane,2.0,Reciprocating,Non-Fatal
62578,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
62581,Piper,Airplane,2.0,Reciprocating,Non-Fatal
62582,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62583,Beech,Airplane,2.0,Turbo Prop,Incident
62587,Luscombe,Airplane,1.0,Reciprocating,Non-Fatal
62588,Champion,Airplane,1.0,Reciprocating,Non-Fatal
62589,Lidgard,Airplane,1.0,Reciprocating,Non-Fatal
62590,Wroblewski,Airplane,1.0,Reciprocating,Non-Fatal
62592,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62600,Robert J. Jackson,Airplane,1.0,Reciprocating,Non-Fatal
62604,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62605,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62606,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62610,Air Tractor Inc,Airplane,1.0,Turbo Prop,Non-Fatal
62612,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62619,Doggett Jack,Airplane,1.0,Reciprocating,Non-Fatal
62621,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62622,Dutton,Airplane,1.0,Reciprocating,Non-Fatal
62623,Gray Jack,Airplane,1.0,Reciprocating,Non-Fatal
62624,Stevenson,Airplane,1.0,Reciprocating,Non-Fatal
62625,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62626,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
62629,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62630,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62632,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62633,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62634,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62635,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62639,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62641,Aviat,Airplane,1.0,Reciprocating,Non-Fatal
62644,Billings/humbyrd,Airplane,1.0,Reciprocating,Non-Fatal
62647,Learjet,Airplane,2.0,Turbo Fan,Incident
62648,Cessna,Airplane,2.0,Turbo Fan,Fatal(6)
62649,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62651,Schweizer,Airplane,1.0,Turbo Prop,Non-Fatal
62652,Weatherly,Airplane,1.0,Reciprocating,Non-Fatal
62656,Grumman,Airplane,1.0,Reciprocating,Non-Fatal
62659,Piper,Airplane,2.0,Reciprocating,Non-Fatal
62663,Boeing Stearman,Airplane,1.0,Reciprocating,Non-Fatal
62664,Raytheon Aircraft Company,Airplane,1.0,Reciprocating,Non-Fatal
62665,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
62666,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62667,Piper,Airplane,1.0,,Non-Fatal
62668,James L. Stringfellow,Airplane,1.0,Reciprocating,Non-Fatal
62669,Grumman,Airplane,1.0,Reciprocating,Non-Fatal
62673,Dassault-breguet,Airplane,3.0,Turbo Fan,Non-Fatal
62674,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62675,Cirrus Design Corp.,Airplane,1.0,Reciprocating,Non-Fatal
62676,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62677,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62679,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62680,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62682,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62685,Wsk Pzl Mielec,Airplane,1.0,Reciprocating,Non-Fatal
62688,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62692,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62693,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62695,Rosenbaum,Airplane,1.0,Reciprocating,Non-Fatal
62697,"Bombardier, Inc.",Airplane,2.0,Turbo Fan,Incident
62700,Nelson,Airplane,1.0,Reciprocating,Non-Fatal
62701,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62703,Luscombe,Airplane,1.0,Reciprocating,Non-Fatal
62704,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62705,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62706,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62708,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62714,Sandall Evan R,Airplane,1.0,Reciprocating,Non-Fatal
62716,Cessna,Airplane,,,Fatal(6)
62721,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62722,Becerra,Airplane,1.0,Reciprocating,Non-Fatal
62723,Britten-norman,Airplane,1.0,Reciprocating,Non-Fatal
62724,Cirrus Design Corp.,Airplane,,,Incident
62725,Piaggio Industrie,Airplane,,,Incident
62732,Piper,Airplane,2.0,Reciprocating,Non-Fatal
62737,Beech,Airplane,1.0,Reciprocating,Non-Fatal
62739,Waco,Airplane,1.0,Reciprocating,Non-Fatal
62740,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62743,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
62746,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62748,Beech,Airplane,1.0,Reciprocating,Non-Fatal
62751,Luscombe,Airplane,1.0,Reciprocating,Non-Fatal
62755,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62758,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62759,Commonwealth,Airplane,1.0,Reciprocating,Non-Fatal
62761,Beech,Airplane,1.0,Reciprocating,Non-Fatal
62762,Evektor,Airplane,1.0,Reciprocating,Non-Fatal
62763,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62764,Piper,Airplane,2.0,Reciprocating,Non-Fatal
62765,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62769,American Champion (acac),Airplane,1.0,Reciprocating,Non-Fatal
62770,Burk,Airplane,1.0,Reciprocating,Non-Fatal
62771,Zaverton Elmer,Airplane,1.0,Reciprocating,Non-Fatal
62773,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62775,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62777,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
62778,"Sherman John, H",Airplane,1.0,Reciprocating,Non-Fatal
62781,Grumman,Airplane,2.0,Reciprocating,Non-Fatal
62782,Truitt Peter,Airplane,1.0,Reciprocating,Non-Fatal
62784,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62786,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62787,Diamond Aircraft Industries,Airplane,1.0,Reciprocating,Non-Fatal
62792,Hammer,Airplane,1.0,Reciprocating,Non-Fatal
62793,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62794,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62795,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
62796,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62801,Evektor-aerotechnik As,Airplane,1.0,Reciprocating,Non-Fatal
62802,Mcdonnell Douglas,Airplane,2.0,Turbo Fan,Non-Fatal
62804,Boeing,Airplane,2.0,Turbo Fan,Non-Fatal
62806,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62809,Anderson,Airplane,1.0,Reciprocating,Non-Fatal
62810,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62814,Piper,Airplane,1.0,Turbo Prop,Fatal(3)
62816,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62818,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62819,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62820,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62824,Cub Crafters Inc.,Airplane,1.0,Reciprocating,Non-Fatal
62825,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62826,Cessna,Airplane,2.0,Turbo Fan,Fatal(2)
62827,Air Tractor,Airplane,1.0,Turbo Prop,Non-Fatal
62829,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
62830,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62831,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62832,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62837,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62838,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62844,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62845,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62847,Beech,Airplane,2.0,Turbo Prop,Fatal(2)
62848,Rajhamsa,Airplane,1.0,Reciprocating,Non-Fatal
62849,Flight Design Gmbh,Airplane,1.0,Reciprocating,Non-Fatal
62850,Grumman-schweizer,Airplane,1.0,Reciprocating,Non-Fatal
62852,Boeing,Airplane,1.0,Reciprocating,Non-Fatal
62853,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62855,Saunders,Airplane,1.0,Reciprocating,Non-Fatal
62858,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62863,Ayres,Airplane,1.0,Turbo Prop,Non-Fatal
62865,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62866,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62871,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62872,Wsk Pzl Mielec,Airplane,1.0,Turbo Prop,Non-Fatal
62874,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62875,Air Tractor,Airplane,1.0,Turbo Prop,Non-Fatal
62878,Mooney,Airplane,1.0,Reciprocating,Fatal(2)
62879,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62880,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62887,Beech,Airplane,2.0,Turbo Prop,Non-Fatal
62888,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
62890,Piper,Airplane,2.0,Reciprocating,Fatal(2)
62892,Diamond Aircraft,Airplane,1.0,Reciprocating,Non-Fatal
62895,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
62898,Piper,Airplane,1.0,Reciprocating,Non-Fatal
62899,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
