,Make,Aircraft.Category,Number.of.Engines,Engine.Type,Injury.Severity
121,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
122,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
123,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
124,Beachner,Airplane,1.0,Reciprocating,Non-Fatal
125,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
126,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
127,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
128,Piper,Airplane,1.0,Reciprocating,Non-Fatal
129,Canadair,Airplane,4.0,Turbo Prop,Non-Fatal
130,Piper,Airplane,1.0,Reciprocating,Non-Fatal
131,Piper,Airplane,2.0,Reciprocating,Incident
132,Beech,Airplane,2.0,Reciprocating,Fatal(2)
133,Cessna,Airplane,1.0,Reciprocating,Fatal(3)
134,Piper,Airplane,2.0,Reciprocating,Fatal(1)
135,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
136,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
138,Cessna,Airplane,1.0,Reciprocating,Fatal(4)
139,Cessna,Airplane,2.0,Reciprocating,Fatal(1)
140,Douglas,Airplane,2.0,Reciprocating,Non-Fatal
141,Piper,Airplane,2.0,Reciprocating,Non-Fatal
142,Piper,Airplane,1.0,Reciprocating,Fatal(1)
143,Grumman,Airplane,1.0,Reciprocating,Fatal(1)
144,Piper,Airplane,1.0,Reciprocating,Non-Fatal
145,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
146,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
147,Air Tractor,Airplane,1.0,Reciprocating,Non-Fatal
148,Sons Mustang,Airplane,1.0,Reciprocating,Fatal(2)
149,Dassault/sud,Airplane,2.0,Turbo Fan,Incident
150,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
152,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
153,Mooney,Airplane,1.0,Reciprocating,Fatal(2)
154,Grumman,Airplane,1.0,Reciprocating,Non-Fatal
155,Mcdonnell Douglas,Airplane,3.0,Turbo Fan,Fatal(2)
156,Beech,Airplane,1.0,Reciprocating,Fatal(1)
157,Piper,Airplane,1.0,Reciprocating,Non-Fatal
158,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
159,Piper,Airplane,2.0,Reciprocating,Non-Fatal
160,Piper,Airplane,1.0,Reciprocating,Fatal(2)
161,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
164,Piper,Airplane,1.0,Reciprocating,Non-Fatal
165,Robertson,Airplane,2.0,Reciprocating,Fatal(7)
166,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
167,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
168,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
169,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
170,Cessna,Airplane,1.0,Reciprocating,Fatal(2)
171,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
172,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
173,Piper,Airplane,1.0,Reciprocating,Non-Fatal
174,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
175,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
176,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
179,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
180,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
181,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
